cluster_id,text,count,sustainability_class
154,Collecting new soil data to meet current soil data requirements,992,S
155,Principles of protection and preservation of snow covering,965,S
156,Integrating climate modeling techniques,1037,S
157,Ensuring transparency and comparability in advanced models,908,PS
158,Tools that provide aggregated flood risk impacts at community-wide scales.,1428,S
159,Strengthening farmer training programs on integrated soil fertility management techniques,387,S
160,Forest Act and Forest Regulation,1005,NS
161,Certification requirements for sustainable forest management,761,NS
162,Assess the effectiveness of specific regulations and enforcement mechanisms for oil spill management,1361,NS
163,WHO Action Level for radon concentrations,1308,NR
164,Improving preventive health measures,584,NS
165,Increase media exposure of health related knowledge,342,NR
166,Tailored education programs to improve health literacy,1224,NR
167,Addressing non-financial barriers to accessing health care services.,180,NR
168,Monitoring aquatic ecosystem’s integrity using reliable indicators,350,S
169,Restriction on the use of disposable plastics,1551,NS
170,Biofuels promotion and regulation,2239,NS
171,Implementing emission control technologies,964,S
172,Construction of Wanan Dam,1160,NS
173,Construct embankments to control the flow of water,1385,NS
174,Regulatory and management measures to limit the establishment of non-native species in fish communities.,704,NS
175,Management measures for invasive species,2245,NS
176,Regulation of groundwater abstraction to prevent unsustainable withdrawal,1661,NS
177,Strategic landscape planning and management,787,S
178,UNESCO World Heritage List and Registry of Intangible Heritage for agricultural landscapes,494,S
179,Implementation of direct forest observations beyond traditional forestry plots,1476,S
180,Adaptation to climate change through forest management strategies suitable to each region or forest type,778,S
181,Subsidization of healthy food items.,499,S
182,Policies to support entrepreneurship,872,NS
183,Pricing water by considering its cost more reasonably.,1285,NS
184,Increasing the price of electricity,419,NS
185,Resource taxation on petrol and gases,1118,NS
186,Improving farmers' access to weather forecasting information,1357,S
187,Provide farmer training and capacity building,1772,S
188,Development of mobile apps and SMS alerts to bridge technology gaps for farmers.,369,S
189,"Promoting renewable energy sources such as wind, solar, or hydro power",1706,S
190,Use of hybrid systems combining renewable energy with traditional sources,626,S
191,Efficient water utilization across sectors,542,S
192,Public policies to incentivise olive oil production,561,S
193,Implementation of combined heat and power (CHP) facilities in industries,769,S
194,Implementation of hi-tech horticulture,870,NS
195,Enhancement of existing financial assistance programs for cloud ERP implementation,47,NR
196,Adoption of prefabrication in building construction,576,S
197,Participatory approach to share knowledge and skills with farmers,708,S
198,Adoption of a universal framework for agricultural data collection and reporting,385,PS
199,Ecodesign of products,752,S
200,"Fostering partnerships between farmers, local governments, and institutions",651,S
201,Fostering the coordination of farmers into groups or cooperatives,1604,S
202,Leveraging technological advancements,1074,S
203,Stakeholder engagement to identify key actors and their roles to foster collaboration and informed decision-making,1336,S
204,Integrate sustainability into corporate strategies.,802,S
205,Integration of sustainability topics into university curricula,1000,S
206,International immigration policies suited to national conditions,1452,NS
207,Improving data collection methods,1118,S
208,Temporary protection schemes for refugees,1484,NS
209,Political space for civil society mobilization,520,NS
210,European Council Directive 2005/85/EC,649,S
211,Providing access to social security for migrant workers,1247,NR
212,Training farmers on safe pesticide use,1298,S
213,Paris Agreement to limit global temperature increase to below 2°C,1602,NS
214,Enhancing extension services for farmers,964,S
215,Policy support for poverty alleviation,1050,NS
216,Measuring poverty using the Multidimensional Poverty Index,783,NR
217,Providing effective social protection,1070,NS
218,Environmental policies in Vietnam,149,S
219,Providing economic assistance to poor families,879,NS
220,Policies geared towards poverty alleviation,1255,NS
221,Recommendations of the World Health Organization for 150-300 minutes of physical activity per week,1593,NR
222,Planning and implementing physical activity programs/services for older adults,1276,NR
223,National policies for emission reduction in the aviation industry,1872,S
224,European Union funding and priority development programmes,1371,S
225,Community-based intervention on healthy lifestyles and behaviors,339,NR
226,Health education programs for older adults,900,NR
227,Selecting the mode of survey to encourage more accurate reporting,1125,NR
228,Application-based interventions to aid patients in making healthy nutrition behavior changes and improving nutrition-related health outcomes,267,NR
229,Tailored interventions based on patients and caregivers' needs and preferences,285,NR
230,Facilitating recruitment of eligible participants from their networks,272,NR
231,Conducting longitudinal studies to examine long-term effects,1406,NR
232,Psychosocial interventions to improve mental health,252,NR
233,Use of gamification to promote physical and mental health in children and adolescents,523,NR
234,Providing psychological support.,698,NR
235,Individualized support and guidance for behavior change strategies,979,S
236,Initiatives to target excessive alcohol consumption,1457,NS
237,Promotion of online interventions for mental health support in various settings,613,NR
238,SMS appointment reminders and educational messages to motivate increased use of care,720,NR
239,Use of mHealth apps to record vital signs and monitor health activities/goals,887,NR
240,"Lifestyle programs to improve diet, physical activity and weight-related factors",442,NR
241,Mandate for written informed consent prior to participation in research,444,NR
242,Financial incentives of a number of types,570,S
243,Household engagement with community-based organization activities.,266,NR
244,Providing appropriate interventions for cancer survivors through healthcare programs.,2736,NR
245,Improved anti-drug policies to reduce the prevalence of drug use disorders,1289,NS
246,More accurate measures for capturing physical activity levels in future studies,565,NR
247,Development of QoL assessment in clinical practice supported by real life data,792,NR
248,Promoting medications associated with better adherence,628,NR
249,Behavioral framing or nudge interventions,334,NS
250,Further research on exposure parameters,129,NR
251,Creating a built environment that promotes physical activity,801,S
252,Strategies to limit sedentary time in addition to approaches to increase physical activity,904,NR
253,Establishing comprehensive care at primary care level,798,NS
254,Expanding digital infrastructure to ensure equitable access to digital health interventions,668,NR
255,Implementation of a Waste-to-Energy (WtE) strategy in incineration plants by municipal authorities,919,NS
256,Periodic training and strict supervision for healthcare waste management,1726,S
257,Assessment of environmental and economic considerations for implementing cooling solutions in different settings,648,S
258,Implement thermal energy storage to achieve full coverage of the heating demand,529,S
259,Improving coordination among relevant agencies,1140,S
260,Enhancing collaborative frameworks between different stakeholders.,410,S
261,Community-based water management initiatives to engage local stakeholders in decision-making processes,1501,S
262,Addressing role ambiguity through well-defined roles and explaining what is expected of each employee.,344,PS
263,Enforcement of vehicular emission regulations,1689,NS
264,Reducing transport emissions,854,NS
265,Strengthened institutional frameworks for oil palm plantations,1392,NS
266,Increasing the proportion of railways in national transport systems,1678,NS
267,Implementing a congestion pricing scheme,660,NS
268,Marketization and privatization policies,820,NS
269,"Integrating operational levers such as routing optimization, lockers, and micro hubs to enhance last mile delivery efficiency.",495,S
270,Embed insights into contractual requirements with contractors,299,S
271,Establishing robust regulations,1165,NS
272,Options for better parking management,865,NS
273,Enhancing public transport modes,1394,S
274,Integration of transport planning with land use policies,994,NS
276,Global Open Access Movement to facilitate access to and use of data,533,S
277,Emission Trading System (ETS) construction,1917,NS
278,Restrictions on sewage sludge application in agriculture,765,NS
279,Restoring natural river channel state,851,S
280,Implementation of ecological restoration measures,1027,S
281,Implementing water conservation measures,757,S
282,Law on Water Resources,875,NS
283,Financial support measures to fund energy efficiency investments in buildings,891,S
284,Time-of-use tariffs for electricity pricing,1787,S
285,Fiscal support for forest resources,619,NS
286,Dietary Guidelines for Americans for fruit and vegetable intake,1460,S
287,Incorporating sustainable diets into national food-based dietary guidelines,612,S
288,Toolkit providing proxies for back-of-the-envelope calculations of economic impacts,226,
289,Using agroecological approaches,798,S
290,Inclusion of legumes in the cropping systems,707,S
291,Targeted support for livestock production,1005,NS
292,Better agricultural management practices,254,S
293,Agricultural policy instruments,483,NS
294,Rural Development Programme,378,NS
295,Implement entrepreneurship training programs for women.,866,NR
296,Strengthening vocational training programs,1363,PS
297,Provision of more employment opportunities,1069,S
298,Enhancing governance structures,899,S
299,Leveraging Public-Private Partnerships (PPPs),967,S
300,Workplace environments providing better conditions for nurses,1541,NR
301,Improving social support from management and supervisors,341,NR
302,Prioritizing and promoting access to training for nurses,1214,NR
303,Improvement of access to in-service training,370,PS
304,Organizational interventions to improve well-being and quality of life,337,NR
305,Targeted interventions to counteract the effects of work-related stress,1039,NS
306,Fostering a more harmonious and supportive work environment for university lecturers,1105,NR
307,Strengthening rural training pathways to attract and retain healthcare personnel,688,NR
308,Providing appropriate compensation for employees,1174,NS
309,Encouraging organizational citizenship behavior (OCB) to enhance employee performance,435,NS
310,National policies to promote food security,1236,NS
311,"Promotion of climate-smart agricultural practices, including the introduction of drought-resistant crop varieties, improved irrigation systems, and adaptive planting schedules",607,S
312,Building an adaptive capacity for smallholder farmers,372,S
313,Promoting drought-resistant crop varieties,1463,S
314,Using higher yielding crop varieties,390,NS
315,Promoting crop diversification,806,S
316,Participatory variety selection to identify farmers’ needs for breeding programs,155,PS
317,Diversification of livelihoods and income sources for farmers,717,S
318,Providing employment opportunities for rural surplus labor,833,S
319,Promoting alternative livelihoods,600,S
320,Facilitating sustained access and uptake of cleaner cooking energy sources,1370,S
321,Strengthening rural education infrastructure,968,S
322,Improving farmers' access to irrigation water,1268,NS
323,Government provision of basic infrastructure for pastoralists,1027,S
324,Training farmers in efficient water management practices,556,NS
325,Lack of proper land use policies,640,NS
326,"Encouraging collaboration between government agencies, non-governmental organizations, research institutions, and local stakeholders",1270,S
327,Promote the adoption of advanced irrigation systems such as drip irrigation and micro-sprinklers to optimize water usage and reduce evaporative losses,894,NS
328,Managing natural resources better,946,NS
329,Enhancing early warning systems,1198,S
330,Integrated Water Resources Management (IWRM) strategies,626,S
331,Controlling land use changes,677,NS
332,Training and awareness to farmers to cope with the effects of climate change,1023,S
333,Financing for climate mitigation and adaptation measures,1164,NS
334,Building water reservoirs in appropriate areas.,1075,NS
335,Training and awareness raising regarding climate change,1283,S
336,Providing subsidies to farmers for adopting sustainable practices,808,S
337,Development of early warning systems to mitigate the adverse consequences of drought,1557,S
338,Policy support from the government,658,NS
339,"Promoting sustainable farming methods, such as crop rotation, organic farming, and using green manure.",425,S
340,Recovery of abandoned agricultural areas,403,NS
341,Adjusting planting and harvesting timing,701,S
342,Community participation in climate change adaptation efforts.,1122,S
343,Support farmers’ access to extension services,1243,S
344,Make adequate inputs available to farmers at subsidized rates,684,S
345,Implementation of rainwater harvesting techniques in households and public buildings.,1541,S
346,Multifunctional planning and design of village planning and rural homesteads according to local conditions and village type differences.,593,S
347,National System of Natural Protected Areas,424,NS
348,Payment for ecosystem services (PES) schemes,1282,S
349,Harvesting strategies in forest management,934,NS
350,The Natural Forest Protection Project,501,NS
351,Sustainable Development Goals (SDGs) of the United Nations’ 2030 Agenda,1685,S
352,Improving road infrastructure,1472,NS
353,Improving the infrastructure of forest roads,640,NS
354,Prohibition on logging in protected forest areas,940,NS
355,Fostering the active involvement of local communities in conservation strategies,1117,S
356,Compulsory fair market value compensation for land expropriation,693,S
357,Involvement of local stakeholders in sustainable development programs,130,S
358,Employment integration measures for people with disabilities,1084,NS
359,Integration of language support programs into academic curricula,1172,NR
360,Intersectoral action to meet the needs of people with disabilities,1615,NR
361,Law No. 10 of 1998,1141,NS
362,Decreasing government expenditures as an austerity measure,876,NS
363,Economic support for persons affected by disabilities,749,NS
364,Establishment of a stable user fee scheme,292,NS
365,Research on the impact of socio-economic and cultural factors on early intervention for hearing loss,250,NR
366,Allocation of resources to guarantee inclusive education for students with disabilities,1151,NR
367,Government expenditure in education,910,NS
368,Prevention programs targeting the unhealthy behaviors of adolescents from lower socioeconomic groups,308,NR
369,Implementation of seawalls as a coastal protection strategy,1872,NS
370,Implementation of structural measures to minimize the impact of sea level rise in vulnerable areas,1329,S
371,Incorporating projected changes in precipitation patterns and extreme rainfall events into flood risk management and infrastructure design,192,S
372,Adoption and use of renewable energy sources in industrial activities.,80,S
373,State-of-the-art recycling infrastructures and management,1019,S
374,Application of Best Available Technology (BAT) as acknowledged by the United States and the European Union,124,S
375,Segregation of wastes at the source,1152,S
376,Improving the management of solid waste,946,NS
377,EU Waste Framework Directive regulating solid waste management policies and regulations in EU member states,730,S
378,Establishing carbon trading mechanisms,1570,NS
379,Design and implement strategies to substantially minimise the impacts of environmental degradation.,258,NS
380,Implementing adaptive strategies for climate change impacts,1283,S
381,Cultivated land protection policies,1351,NS
382,Regional rural development plans in Italy,158,S
383,Integrating Environmental Impact Assessments (EIAs) into all large scale projects,1339,NS
384,Implementation of urban land use plans,431,NS
385,Formulating effective land-use policies,471,NS
386,Accelerated renovation of buildings,1046,S
387,Expansion of the protected area network,768,NS
388,Brazil's enforcement of the Forestry Code to protect legal reserves mandated by law,1425,S
389,Expanding and establishing protected areas,1336,NS
390,Public policies for conservation and protection,558,NS
391,Equitable allocation of resources,442,NS
392,Standard limits for surface waters,676,S
393,Textile Strategy to promote sustainable practices in the textile industry.,985,S
394,Enhancing water awareness through education campaigns and public outreach programs to promote sustainable water consumption practices,1290,S
395,Restorative approach in juvenile legislation,652,NR
396,Forest regeneration with strategically selected tree species,901,S
397,Changing the sowing density,374,S
398,Building local capacity to make efficient use of bamboo,379,S
399,Applying biochar as a soil amendment,1219,S
400,Green certificates as tradable assets for electricity generation from renewable sources,370,S
401,Climate change mitigation scenario RCP 2.6,894,NS
402,Regulatory frameworks for biomass utilization in energy systems,1618,NS
403,National policies for sustainable forest management,718,NS
404,Implementing policies on environmental protection,651,NS
405,Careful hazard zoning and land-use planning in potential risk areas,723,S
406,Implementation of freshwater diversions to mitigate salinity increases in estuarine basins,595,S
407,Target of 40% of installed capacity from renewable energy sources by 2030,1152,S
408,Accessible financing options for renewable energy investments,634,S
409,Financial incentives for renewable energy adoption,711,S
410,Improving rural electrification and access to good electricity,1046,S
411,Support mechanisms to encourage the installation of DG units in electrical distribution networks,642,S
412,Utilization of development aid,722,NS
413,Developing comprehensive national energy policies,559,NS
414,Financial participation of local communities in energy projects,1404,S
415,Continuous capacity-building initiatives to empower local communities and enhance stakeholder competencies,1118,S
416,Subsidies for households to mitigate increased electricity prices,618,S
417,Explore opportunities for international collaboration and knowledge exchange.,852,S
418,Energy policy of the European Union,977,NS
419,Addressing and regulating energy poverty,800,NS
420,Accelerating the uptake of family planning interventions,1928,NS
421,Revitalizing maternal health services and initiatives,1358,NS
422,Addressing informal settlements,570,NS
423,Regulation of sand mining activities,283,NS
424,Multi-level forest management,548,S
425,Integrating electricity grids across the region,865,NS
426,Introduction of an independent regulator in the electricity sector,1339,PS
427,Proper urban planning and environmental management for sustainable urban development,920,S
428,Designing communication strategies that reduce resistance and promote engagement for pro-environmental behavior,621,S
429,Development of ecotourism infrastructure in protected areas,1081,NS
430,Supportive policies to encourage foreign investment,1711,NS
431,Implementing Life Cycle Analysis (LCA) techniques,1549,S
432,Use of Building Information Modelling (BIM),883,S
433,Development and use of Environmental Product Declarations (EPDs) for building materials,244,S
434,Establishing environmental monitoring systems,547,NS
435,Certification systems for sustainable buildings,1281,S
436,The reintroduction of usable packaging schemes,731,S
437,Greening programs,111,S
438,"Collaboration between health sector, local government, community leaders, and traditional structures for sustainable interventions",636,S
439,New quality focused payment models for PCPs,1414,NS
440,Providing community support and health services,267,NS
441,Proper ventilation strategy in residences and offices,2394,S
442,Regulation of certain refrigerants under the Montreal Protocol,539,S
443,Introduction of out-of-court mechanisms of disputes resolution,685,NS
444,Policies to mitigate and adapt to climate change,704,NS
445,Integrate sustainability criteria into trade policies,475,S
446,Implementing strong energy efficiency policies,660,S
447,Clean Development Mechanism (CDM) projects under the Kyoto Protocol,428,NS
448,Protection of natural areas near rivers and wetlands,404,S
449,Assessment about effective land use planning,518,S
450,Fostering positive relationships among employees,489,NR
451,"Inclusion of older adults in community life through visits, recreational activities, and social interactions.",1311,NR
452,Develop community-based care services for older people,1020,NR
453,Implement age-friendly urban design to support older people to successfully age in the community,1498,S
454,Encouraging institutional forms of housing for the elderly,276,NS
455,Developing and supporting cost-effective home care services,569,NR
456,Using public and green procurements,993,S
457,Promoting adoption and integration of renewable energy sources through policies.,911,S
458,Carbon border adjustment mechanism – a tax on carbon-intensive imports,485,NS
459,Setting the minimum legal age for marriage,1012,NS
460,Involving and relying on women in farming initiatives,1078,S
461,Policy support for higher involvement of men into household work and childcare,601,NR
462,Scheduling intervention sessions on different days and times to increase participation and minimize dropouts,175,NR
463,Training and practical demonstrations of sustainable farming methods for paddy farmers,148,S
464,Facilitate access to credit for farmers.,1393,NS
465,Supporting microfinance institutions,1321,NS
466,Implementation of public policies to mitigate climate change,948,S
467,Proper water resource management strategies,926,NS
468,Preventing or limiting grazing,1331,NS
469,Government of Ethiopia's policy on marketability of rural land use rights.,349,S
470,Long-term monitoring of vegetation dynamics,425,S
471,Integrated management of peatlands,888,NS
472,Conservation planning in the face of climate change,692,S
473,"Implementing long-term monitoring programmes to track changes in species conservation status, vegetation, and human-induced threats",922,S
474,Exploration of alternative sources of phosphorus and technologies to improve phosphorus use efficiency.,817,S
475,Strengthening community engagement,813,S
476,Community involvement in fisheries management,1340,S
477,Phase-out of coal for generating electricity,1316,NS
478,Practical policies for hydropower projects,1490,NS
479,Full use of the potential of wind energy,2168,NS
480,Energy efficiency in energy-intensive industrial sectors,401,S
481,Enforcement mechanisms for conservation policies,188,NS
482,"Adopting integrated nexus-based policies for water, energy, and food resources",420,NS
483,Government subsidies and tax benefits for EVs,2464,NS
484,Renewable Portfolio Standard (RPS) mandatory policies,496,NS
485,National Energy Plan 2030 (PNE2030),464,S
486,Carbon pricing to capture external costs of carbon emissions,1499,NS
487,Advanced policies to support the production and use of bioethanol,902,NS
488,Achieving emission reduction targets for different regions,580,S
489,Family planning policies to control population growth,1170,NS
490,Integration of renewable sources in the desalination process to reduce energy dependence on fossil fuels,846,S
491,Use of the EC PEF and OEF methods by companies and other private organisations,64,S
492,Continuous monitoring and assessment of water quality,1652,S
493,Improving monitoring of water resources,132,S
494,Research and evaluation of travel mode interventions,741,S
495,Space heating through district heating.,1124,NS
496,Implementing demand response,1586,S
497,Identification of high-priority areas for intervention,154,S
498,Investing in renewable energy infrastructure,1172,S
499,Improving energy efficiency,1308,S
500,More efficient resource allocation,672,S
501,Incorporating strategic planning and feedback loops for WHP initiatives,137,NR
502,Technology transfer programs for less-developed regions,403,S
503,Establishing a diversified supply chain network,1659,S
504,Expansion of export production base,1456,NS
505,Belt and Road Initiative (BRI) economic cooperation approach,699,S
506,"Integrating resilience training into education, community programs, and policy initiatives",1043,NR
507,"Appropriate and timely post-stroke support for stroke survivors, their families and caregivers",1061,NR
508,Improving patients’ self-management skills,596,NR
509,Policies supporting the combination of work and family,1461,NS
510,Creating a positive and supportive work environment,981,NR
511,Implement transparent communication during organizational change,558,NR
512,Implementing and exemplifying transformational leadership as a guiding principle for employees,1545,S
513,Implementing targeted training programs aimed at developing authentic leadership qualities among managers.,1331,NR
514,Introduction of prescribed burning strategies,2453,S
515,Implementing desertification control,709,S
516,Community participation and awareness programs for controlling forest fires,1347,S
517,Integration of environmental education into the school curriculum,912,S
518,Community involvement in the implementation of values education,258,PS
519,Formulating sustainable development policies,442,S
520,Fostering the development of green technologies,1157,S
521,Having local people participate in the planning and decision-making processes,1424,S
522,Tailings Storage Facility (TSF) management strategies,751,NS
523,Implementation of environmental flow regimes,794,NS
524,Implementation of the 'polluters pay' principle,362,S
525,Integrated river basin planning and management,566,S
526,Improving access to safe and adequate water supply,1431,NS
527,"Enhanced collaboration between industries, academic institutions, and research entities",882,S
528,Effective regulation and monitoring of heavy metal contamination,1008,NS
529,Better allocation of available resources for road infrastructure management,1396,S
530,Better choices of pavement mixtures,1232,S
531,Better management of common rangelands,240,S
532,Securing land tenure rights,1623,NS
533,Incorporation of gender-aware policies into national level policies,1040,NS
534,Supportive policies and initiatives to promote gender equality,1122,PS
535,Development of programs to alleviate causes of household food insecurity,1270,S
536,Encouraging farmers to adopt agroforestry models scientifically and technically,1652,S
537,Application of appropriate voltage control methods based on grid strength,1037,S
538,Partial liberalisation of the trade in agricultural products,669,NS
539,Perfection degree of policy formulation,770,NR
540,Implementation of the Transition Toolkit to improve transition readiness in adolescents,199,NR
541,Mitigation of fine sediment accumulation,1178,S
542,Planning for ecosystem services,1550,S
543,Social marketing approaches,1058,S
544,Developing agricultural processing industries to increase the added value of agricultural products,318,S
545,"Scenario-based modeling approaches, incorporating participatory planning and stakeholder engagement",491,S
546,Social participation in planning processes,758,S
547,Enhanced regulation and enforcement of pesticide usage,1956,NS
548,Use of mathematical models to predict the evolution of water quality indicators,184,S
549,Use of simulation models to assess energy consumption and accelerate the shift to energy-efficient buildings,440,S
550,Better planning and sustainable use of photovoltaic energy,949,S
551,Alberta Plan for Parks,316,NS
552,The Valparaiso Project,727,S
553,Stabilizing exchange rates and controlling inflation,2277,NS
554,Free and compulsory basic education policy,889,NS
555,Effective oversight for the implementation of FHT,241,S
557,Structural adjustment program in Nigeria,715,NS
558,Improving the infrastructure of natural gas supply,1689,S
