title,abstract,studied_sector,year_of_publication,doi,extracted_data
Control strategy of a novel energy recovery system for parallel hybrid hydraulic excavator,"With the high fuel prices, the demands for energy saving and green emission of engineering machinery have been increased rapidly. Due to the complex working condition and frequent load changing, the efficiency of the hydraulic excavator is low. The aim of this article is to propose a control strategy for energy recovery system of hydraulic excavator driven by the parallel hybrid system. The mathematical models of the main components and the simulation models of the proposed system and a conventional energy recovery system are built. Then, according to the load characteristic, a control strategy based on the working condition and state of charge of the battery is given. The co-simulation for the hybrid hydraulic excavator system is established. The results show that the proposed energy recovery system and control strategy can not only improve the energy recovery efficiency but also reduce fuel consumption and emission of the power system.","['Construction', 'Manufacturing']",2015,10.1177/1687814015613769,
A Conceptual Framework to Understand the Dynamics of Rural–Urban Linkages for Rural Flood Vulnerability,"Rural areas are highly vulnerable to floods due to limited social, economic, and physical resources. Understanding rural vulnerability is vital for developing effective disaster risk reduction strategies. Even though rural areas and cities are intrinsically linked, rural vulnerability was assessed without considering its relation to cities. Numerous theoretical frameworks on systemizing and assessing vulnerability were developed with varying level of scope and depth in terms of scale, dimensions, and components. Nevertheless, these frameworks did not explicitly mention the impact of flood or other hazards on the linkages between spatial units i.e., rural and urban. This study aims to understand and conceptualize the rural vulnerability with respect to the dynamics of rural–urban linkages in the case of flood events. To do so, current literature on rural–urban linkages, vulnerability, as well as factors that influence them were critically reviewed. Taking into account the main elements of rural–urban linkages (flow of people, information, finances, goods and services), components of vulnerability (exposure, susceptibility, and capacity), and factors (social, economic, institutional, infrastructural, spatial, and environmental), a unified framework is proposed. The framework underscores that the role of rural–urban linkages is essential to fully understand rural flood vulnerability. Moreover, the framework highlights the role of spatial factors—city size and proximity to the city—as crucial to comprehend rural vulnerability. This framework can be used as a tool for understanding multifaceted rural vulnerability for climate change adaptation and disaster risk reduction considering spatial development perspective. In this context, empirical investigations can be made to validate the proposed framework and policies can be introduced accordingly. Overall, the proposed framework can help recognize concepts and links of vulnerability, rural–urban dependencies, and rural development dynamics.","['Agriculture, forestry, fishing', 'Public administration, defence, social security', 'Education', 'Health and social work']",2020,10.3390/su12072894,
Birth weight and childhood body composition by prenatal exposures: the EPOCH study,"This study explores the association between birth weight and childhood body composition, abdominal adiposity, and ectopic fat deposition among children enrolled in the retrospective multi-ethnic cohort study: Exploring Perinatal Outcomes among Children (EPOCH) in Colorado. The research examines whether low birth weight, as a marker of under-nutrition in utero, is a major determinant of childhood adiposity patterns in contemporary U.S. youth.",['Health and social work'],2012,,
Relationship between spiritual intelligence and lifestyle with life satisfaction among students of medical sciences,Young people are the main resources of any country and entering university is considered a sensitive period in their lives. Satisfaction with life is one of the indicators of successful adaptation to life. Lifestyle and spiritual intelligence can complement and give meaning to this variable. The present study was conducted to investigate the relationship between spiritual intelligence and lifestyle with life satisfaction in students of Medical Sciences.,"['Education', 'Health and social work']",2023,10.1186/s12909-023-04506-8,
Forward optimization of integrated energy system scheduling considering economy and environment,"Given the finite nature of fossil fuels and their adverse environmental impacts, establishing a new sustainable energy system has become an urgent issue today. In order to reduce the carbon emissions of integrated energy systems(IES) and optimize the operational costs, this paper proposes an optimized scheduling of comprehensive energy systems considering both economic and environmental factors to meet the demand for renewable energy generation regulation and improve energy utilization efficiency. In the paper, a comprehensive demand response model of user energy consumption behavior is first constructed to ensure the safe operation of the power system. Based on this model, a joint operation model of Power-to-Gas (P2G) and Carbon Capture and Storage (CCS) systems, as well as operational constraints of natural gas and hydrogen mixed P2G devices, are considered. By introducing a carbon trading mechanism and minimizing total costs as the objective, a day-ahead low-carbon economic scheduling model for the system is established. To address the uncertainty of customer demand response, robust optimization theory is adopted, and the problem is reformulated as a linear programming problem using duality theory for solution using commercial solvers. Simulation results demonstrate that this scheduling strategy can improve the economic benefits of power plants while reducing renewable energy consumption and power plant risks, promoting the sustainable development of integrated energy systems.","['Electricity, gas, steam, air conditioning']",2024,10.21203/rs.3.rs-4323084/v1,
Modelling the management of an invasive species at landscape scale: are oral contraceptives the missing ingredient for success?,"Context. Invasive non-native species are on the rise worldwide, exacerbating already significant environmental and economic impacts. Concurrently, public attitudes towards methods of controlling these species are changing, with greater demand for non-lethal solutions. This has fostered research into developing new, effective technologies and strategies for wildlife management. Aims. On the basis of a case study focusing on the eastern grey squirrel (Sciurus carolinensis) in the UK, this study aimed to understand the potential for population management, using either live trapping or oral contraception. First, assuming completely coordinated landscape-scale control, and then, coordinated control only on parts of the landscape, accounting for the potential that landowners' attitudes towards alternative methods may differ and reflect those of the wider public. Methods. We used an existing spatially explicit individual-based modelling approach applying various parameterisations to define management. We varied the density of traps or hoppers delivering contraceptives, the duration of deployment, contraceptive efficacy, initial population size, and the probability of landowner participation. The latter was based on a previous public survey, suggesting that 40% of the respondents were open to management using trapping and 64% to using contraception. Key results. With complete coordinated control, trapping was generally faster and more cost-effective than was contraception. However, when differences in social acceptance were considered, reducing participation and, consequently, the spatial coverage of management, contraception was found to maintain greater population reductions than was trapping with similar effort, assuming a contraceptive efficacy of 75% or higher. Conclusions. This study added another layer of complexity to managing invasive non-native species, namely the potential effect that landowners' attitudes to different methods of population management might have on the level of coordinated control at landscape scale. In a situation such as the one modelled by this study, where management is not a legal requirement, this human dimension must be considered alongside cost-effectiveness, to develop successful control in line with management goals. Implications. Further work is required to establish the actual attitudes of landowners, and in different contexts (e.g. urban, rural areas), how this may change as new approaches become available, and then how spatial variation (clustering) in the resulting wildlife population control may affect outcomes.","['Agriculture, forestry, fishing']",2024,10.1071/WR22194,
Assessing the Spatiotemporal Patterns and Impacts of Droughts in the Orinoco River Basin Using Earth Observations Data and Surface Observations,"Droughts impact the water cycle, ecological balance, and socio-economic development in various regions around the world. The Orinoco River Basin is a region highly susceptible to droughts. The basin supports diverse ecosystems and supplies valuable resources to local communities. We assess the spatiotemporal patterns and impacts of droughts in the basin using remote sensing data and surface observations. We use monthly precipitation (P), air temperature near the surface (T2M), enhanced vegetation index (EVI) derived from Earth observations, and average daily flow (Q) data to quantify drought characteristics and impacts. We also investigated the association between drought and global warming by correlating the drought intensity and the percentage of dry area with sea surface temperature (SST) anomalies in the Pacific (Niño 3.4 index), Atlantic (North Atlantic Index [NATL]), and South Atlantic Index [SATL]) oceans. We evaluate the modulating effect of droughts on the hydrological regime of the most relevant tributaries by calculating the trend and significance of the regional standardized precipitation index (SPI) and percentage area affected by dry conditions. El Niño events worsen the region's drought conditions (SPI vs. Niño 3.4 index, r = −0.221), while Atlantic SST variability has less influence on the basin's precipitation regime (SPI vs. NATL and SATL, r = 0.117 and −0.045, respectively). We also found that long-term surface warming trends aggravate drought conditions (SPI vs. T2M anomalies, r = −0.473), but vegetation greenness increases despite high surface temperatures (SPI vs. EVI anomalies, r = 0.284). We emphasize the irregular spatial-temporal patterns of droughts in the region and their profound effects on the ecological flow of rivers during prolonged hydrological droughts. This approach provides crucial insights into potential implications for water availability, agricultural productivity, and overall ecosystem health. Our study underlines the urgent need for adaptive management strategies to mitigate the adverse effects of droughts on ecosystems and human populations. The insights derived from our study have practical implications for developing strategies to address the impacts of droughts and ensure the protection of this ecologically significant region.","['Agriculture, forestry, fishing', 'Water, sewerage, waste']",2023,10.3390/hydrology10100195,
"Soil respiration across a variety of tree-covered urban green spaces in Helsinki, Finland","As an increasing share of the human population is being clustered in cities, urban areas have swiftly become the epicentres of anthropogenic carbon (C) emissions. Understanding different parts of the biogenic C cycle in urban ecosystems is needed in order to assess the potential of enhancing their C stocks as a cost-efficient means to balance the C emissions and mitigate climate change. Here, we conducted a field measurement campaign over three consecutive growing seasons to examine soil respiration carbon dioxide (CO2) fluxes and soil organic carbon (SOC) stocks at four measurement sites in Helsinki representing different types of tree-covered urban green space commonly found in northern European cities. We expected to find variation in the main drivers of soil respiration – soil temperature, soil moisture, and SOC – as a result of the heterogeneity of urban landscape, and that this variation would be reflected in the measured soil respiration rates. In the end, we could see fairly constant statistically significant differences between the sites in terms of soil temperature but only sporadic and seemingly momentary differences in soil moisture and soil respiration. There were also statistically significant differences in SOC stocks: the highest SOC stock was found in inactively managed deciduous urban forest and the lowest under managed streetside lawn with common linden trees. We studied the impacts of the urban heat island (UHI) effect and irrigation on heterotrophic soil respiration with process-based model simulations, and found that the variation created by the UHI is relatively minor compared to the increase associated with active irrigation, especially during dry summers. We conclude that, within our study area, the observed variation in soil temperature alone was not enough to cause variation in soil respiration rates between the studied green space types, perhaps because the soil moisture conditions were uniform. Thus, irrigation could potentially be a key factor in altering the soil respiration dynamics in urban green space both within the urban area and in comparison to non-urban ecosystems.","['Public administration, defence, social security']",2024,10.5194/egusphere-2023-3031,
"Seasonal changes in the behaviour and respiration physiology of the freshwater duck mussel, Anodonta anatina","For low-energy organisms such as bivalves, the costs of thermal compensation of biological rates (synonymous with acclimation or acclimatization) may be higher than the benefits. We therefore conducted two experiments to examine the effect of seasonal temperature changes on behaviour and oxygen consumption. In the first experiment, we examined the effects of seasonal temperature changes on the freshwater bivalve Anodonta anatina, taking measurements each month for a year at the corresponding temperature for that time of year. There was no evidence for compensation of burrowing valve closure duration or frequency, or locomotory speed. In the second experiment, we compared A. anatina at summer and winter temperatures (24 and 4°C, respectively) and found no evidence for compensation of the burrowing rate, valve closure duration or frequency, or oxygen consumption rates during burrowing, immediately after valve closure or at rest. Within the experimental limits of this study, the evidence suggests that thermal compensation of biological rates is not a strategy employed by A. anatina. We argue that this is due to either a lack of evolutionary pressure to acclimatize, or evolutionary pressure to not acclimatize. Firstly, there is little incentive to increase metabolic rate to enhance predatory ability given that these are filter feeders. Secondly, maintained low energetic demand, enhanced at winter temperatures, is essential for predator avoidance, i.e. valve closure. Thus, we suggest that the costs of acclimatization outweigh the benefits in A. anatina.","['Agriculture, forestry, fishing']",2014,10.1242/jeb.093450,
"Prevalence of Obesity and the Relationship between the Body Mass Index and Body Fat: Cross-Sectional, Population-Based Data","In this cross-sectional study of men and women enrolled in the Geelong Osteoporosis Study (GOS), we aimed to describe the prevalence of overweight and obesity in Australian adults according to current criteria based on the BMI and waist circumference. Furthermore, we have investigated the relationship between the BMI and body fat determined by dual energy x-ray absorptiometry (DXA).","['Health and social work', 'Public administration, defence, social security']",2012,,
"Education and Self-Reported Health: Evidence from 23 Countries on the Role of Years of Schooling, Cognitive Skills and Social Capital","We examine the contribution of human capital to health in 23 countries worldwide using the OECD Survey of Adult Skills, a unique large-scale international assessment of 16-65 year olds that contains information about self-reported health, schooling, cognitive skills and indicators of interpersonal trust, which represents the cognitive dimension of social capital. We identify cross-national differences in education, skill and social capital gradients in self-reported health and explore the interaction between human capital and social capital to examine if and where social capital is a mediator or a moderator of years of schooling and cognitive abilities. We find large education gaps in self-reported health across all countries in our sample and a strong positive relationship between self-reported health and both literacy and trust in the majority of countries. Education and skill gradients in self-reported health appear to be largest in the United States and smallest in Italy, France, Sweden and Finland. On average around 5.5% of both the schooling gap in self-reported health and the literacy gap in self-reported health can be explained by the higher levels of interpersonal trust that better educated/more skilled individuals have, although the mediating role of trust varies considerably across countries. We find no evidence of a moderation effect: the relationships between health and years of schooling and health and cognitive skills are similar among individuals with different levels of trust.","['Health and social work', 'Education']",2016,10.1371/journal.pone.0149716,
Anorectal Function and Quality of Life in Patients with Early Stage Rectal Cancer Treated with Chemoradiation and Local Excision,"Background— Little is known about anorectal function and quality of life after chemoradiation followed by local excision, which is an alternative to total mesorectal excision for selected early rectal cancer patients. Objective— Prospectively assess anorectal function and health-related quality of life of T2N0 rectal cancer patients treated with an alternative approach Design— Prospective phase II trial Settings— Multicentric study (ACOSOG trial Z6041) Interventions— Patients with stage cT2N0 rectal adenocarcinomas were treated with an oxaliplatin/capecitabine-based chemoradiation regimen followed by local excision. Main Outcome Measure— Anorectal function and quality of life were assessed at enrollment and 1 year postoperatively with the Fecal Incontinence Severity Index, Fecal Incontinence Quality of Life scale and Functional Assessment of Cancer Therapy-Colorectal questionnaire. Results were compared, and multivariable analysis was performed to identify predictors of outcome. Results— Seventy-one (98%) patients were evaluated at enrollment and 66 (92%) at 1 year. Compared to baseline, no significant differences were found on Fecal Incontinence Severity Index scores at 1 year. Fecal Incontinence Quality of Life results were significantly worse in the lifestyle (p<0.001), coping/behavior (p<0.001) and embarrassment (p=0.002) domains. There were no differences in the Functional Assessment of Cancer Therapy overall score, but the physical well-being subscale was significantly worse and emotional well-being was improved after surgery. Treatment with the original chemoradiation regimen predicted worse depression/self-perception and embarrassment scores in the Fecal Incontinence Quality of Life, and male sex was predictive of worse scores in the Functional Assessment of Cancer Therapy overall score and trial outcome index. Limitations— Small sample size, relatively short follow-up and absence of information before cancer diagnosis. Conclusion— Chemoradiation followed by local excision had minimal impact on anorectal function 1 year after surgery. Overall quality of life remained stable, with mixed effects on different subscales. This information should be used to counsel patients about expected outcomes.",['Health and social work'],2017,10.1097/DCR.0000000000000758,
Environmental evaluation of high-value agricultural produce with diverse water sources: case study from Southern California,"Meeting agricultural demand in the face of a changing climate will be one of the major challenges of the 21st century. California is the single largest agricultural producer in the United States but is prone to extreme hydrologic events, including multi-year droughts. Ventura County is one of California's most productive growing regions but faces water shortages and deteriorating water quality. The future of California's agriculture is dependent on our ability to identify and implement alternative irrigation water sources and technologies. Two such alternative water sources are recycled and desalinated water. The proximity of high-value crops in Ventura County to both dense population centers and the Pacific Ocean makes it a prime candidate for alternative water sources. This study uses highly localized spatial and temporal data to assess life-cycle energy use, life-cycle greenhouse gas emissions, operational costs, applied water demand, and on-farm labor requirements for four high-value crops.","['Agriculture, forestry, fishing']",2018,10.1088/1748-9326/aaa49a,
Oxygen Demand Forecasting and Optimal Scheduling of the Oxygen Gas Systems in Iron- and Steel-Making Enterprises,"Due to the imbalance between the supply and demand of oxygen, the oxygen systems of iron- and steel-making enterprises in China have problems with high oxygen emissions and high pressure in the pipelines, resulting in the energy consumption of oxygen production being high. To reduce the energy consumption of oxygen systems, this study took a large-scale iron- and steel-making enterprise as a case study and developed a two-stage forecasting and scheduling model. The novel aspect and progressiveness of this work are as follows: First, an oxygen demand forecasting model was developed based on the backpropagation neural network with genetic algorithm optimization (GABP) and is driven only by historical data. Compared with some complex models in the literature, although the accuracy of this model has been reduced, the model does not need to consider production plans for other process steps, making it more practical and feasible. Second, different from the existing literature, an oxygen production scheduling model was developed for load-variable ASUs with an internal compression process, and both the oxygen emissions and pipeline pressure are included in the objective function. The case study showed that based on the oxygen demand forecast and optimal scheduling, the oxygen emissions and pipeline pressure in the studied iron- and steel-making enterprise can be significantly reduced, thereby achieving considerable energy-saving effects and economic benefits. Specifically, the following conclusions were obtained: (1) For the oxygen demand forecast, the prediction accuracy of the GABP model was better than that of the ARIMA model. The average MAPE of the 12 sets of data of the ARIMA and GABP models was 23.8% and 20.2%, respectively. (2) By comparing the scheduling results and the field data, it was found that after scheduling, the amount of oxygen emissions decreased by 6.32%, the pipeline pressure decreased by 0.61%, and the energy consumption of oxygen compression decreased by 1.6%. Considering both the oxygen emission loss and the energy consumption of oxygen compression, the total power consumption of the studied oxygen system was reduced by 1.38%, resulting in electricity cost savings of approximately 9.03 million RMB per year.",['Manufacturing'],2023,10.3390/app132111618,
Short-term health co-benefits of existing climate policies: the need for more ambitious and integrated policy action,"Climate change and air pollution are two interconnected major risks for human health. The sources of greenhouse gases—namely, the combustion of fossil fuels—are the main sources of harmful air pollution. The literature has extensively analysed the health co-benefits of lowered air pollution associated with alternative decarbonisation strategies. However, these studies have been focused on stylised or cost-optimal scenarios with long-term optimistic and uncertain assumptions about future mitigation efforts. The 2021 United Nations Climate Change Conference in Glasgow increased the ambition for the 2030 emission reduction targets compared with the 2015 pledges, and several countries presented their commitment to achieve net zero emissions by the second half of the century. Nevertheless, there are several alternative strategies to achieve net zero economies, which would result in very different emission pathways.","['Electricity, gas, steam, air conditioning', 'Manufacturing', 'Transport and storage']",2023,10.1016/S2542-5196(23)00106-8,
The development of inflow discharge for the karian multipurpose reservoir in the pursuit of reservoir management optimization,"Climate change and land cover modifications result in alterations in hydrological regimes. The demand for water and electrical energy continually rises along with population growth. Consequently, optimizing the Karian Multipurpose Reservoir (Hydroelectric Exploitation) operation requires considering hydrological regime changes. The Karian multipurpose reservoir is designed to meet water needs in Banten Province. The strategic policy for the Reservoir is to provide raw water at a rate of 14.6 m3/s. Of this, 9.1 m3/s is diverted to Tangerang Regency, and 5.5 m3/s is directed to Serang City through Ciujung River. Before being released into the Ciujung River, a flow of 5.5 m3/s is channeled through turbines to generate 1.8 MW of electricity. This study compares two models for estimating discharge to support Karian Reservoir management: (1) The Rainfall Conversion Ratio (CR) and Catchment Area, and (2) The Continuous model. The Rainfall CR and Catchment Area has a correlation value of 0.523 with CR KOICA, Absolute Relative Error (ARE) of 0.54, and Root Mean Square Error (RMSE) of 10.61. Meanwhile, the continuous model has a correlation value of 0.877 with CR KOICA, ARE of 0.18, and RMSE of 3.64. The results indicate the continuous model is the most effective in estimating input discharge.","['Electricity, gas, steam, air conditioning', 'Water, sewerage, waste']",2024,10.1051/e3sconf/202448504009,
