;record_id;type_of_reference;title;secondary_title;language;keywords;abstract;author_address;custom3;issn;year;doi;accession_number;notes;date;volume;start_page;end_page;number;custom7;custom6;first_authors;included;Cleaned_Title;DOI;Keywords
541;541;JOUR;Discovering stop and parking behaviors of last mile delivery vehicles for urban areas based on not well conditioned GPS traces, expert knowledge and machine learning;EXPERT SYSTEMS WITH APPLICATIONS;English;['GPS traces', 'Urban city delivery', 'Knowledge discovery', 'Stop detection', 'Park & stop behaviors', 'FREIGHT TRANSPORT', 'TRAJECTORIES', 'SYSTEMS', 'ISSUES'];"Nowadays urban traffic is one of the most serious challenges for local authorities around the world. This challenge implies issues regarding health, energy, safety, environment and quality of life. Achieving a fair traffic outcome is a key priority for city traffic managers while maintaining city's attractiveness for citizens and travelers and those carrying out commercial activities. As a part of this challenge, delivery and similar companies are relevant stakeholders in optimizing their routes, deliveries, and operational services. It is in this respect that urban traffic and its regulations play a key role.The conditions in which urban traffic takes place thus have to be known and one way to deal with this is based on available and accessible data. In the IoT age, there could be huge amounts of available data generated by countless sensors and systems involved in our lives, cities, infrastructures, etc.... Taking advantage of such data, when the accessibility and quality is good enough, can help us to achieve the desired goals concerning the urban traffic and its consequences. However, in practice, the availability and access to such data is currently a very serious challenge.Following on with this, data generated from the ever-increasing number of sensors on board vehicles could be very useful, not only for checking the vehicle condition, but also to gain a better of the ""real-time""traffic situation or to discover traffic behaviors/patterns from the said data. In this work, a real case based study has been carried out gathering basic real GPS information regarding delivery vehicles in a city environment and OpenData to ""discover""where, when and how long time delivery vehicles use the regulated parking zones for loading/unloading in the city center. Based on Expert Rules, a stop detection criteria is defined and formulated to be applied to real cases in urban areas, focusing on city centers and Machine Learning techniques to discover stop and park behaviors on last mile deliveries in a real urban area.All this is used to plan traffic strategies and facilities which can permit better and more fluent services. On the other hand, the results provide invaluable knowledge support for the expert knowledge of mobility managers, while also supplying new ""findings""about the daily challenges, showing that machine learning techniques and other linked technologies are powerful tools for this challenge.";Univ Valladolid, Sch Ind Engn, Dept Syst Engn & Automat Control, Valladolid 47011, Spain;Universidad de Valladolid;0957-4174;2024;10.1016/j.eswa.2023.122001;WOS:001101340400001;['Times Cited in Web of Science Core Collection:  5', 'Total Times Cited:  5', 'Cited Reference Count:  45'];MAR 15;238;;;;122001;OCT 2023;;-1;Discovering stop and parking behaviors of last mile delivery vehicles for urban areas based on not well conditioned GPS traces, expert knowledge and machine learning;"10.1016/j.eswa.2023.122001
";"GPS traces; Urban city delivery; Knowledge discovery; Stop detection; Park & stop behaviors; FREIGHT TRANSPORT; TRAJECTORIES; SYSTEMS; ISSUES"
566;566;JOUR;Optimal ship fleet size in an inland river corridor with seasonal change in waterway depth;TRANSPORT POLICY;English;['Inland river transport', 'Ship fleet size', 'Seasonal waterway depth', 'Vertical structure model', 'OFF-PEAK PERIODS', 'CLIMATE-CHANGE', 'DEPLOYMENT', 'TRANSPORT', 'SPEED', 'SERVICE', 'DESIGN'];"Inland river corridor provides a significant connection between inland cities and export seaports. Different from the sea waterway, the navigable ship size in an inland river corridor is restricted by the waterway depths in the plentiful and drought periods. This paper deals with the design issue of ship fleet size in an inland river corridor with seasonal change in waterway depth using a vertical structure model. The interactions among consignors, competitive carriers and a public port operator over plentiful and drought periods are considered in the proposed model, together with the impacts of seasonal waterway depth on the ship fleet size. The consignors aim to minimize transport cost by choosing transfer ports in each period. The competitive carriers are intended to maximize their own net profit by determining the shipping freight rates in each period and the ship fleet size (ship frequencies and composition of ship size) over a given time horizon. A public port operator, as an agent of the government, decides the port service charges in each period to maximize social welfare over the given time horizon. The effects of the ratio of drought period duration to plentiful period duration (duration ratio), the ratio of small ship size to big ship size (ship size ratio), and the actual cargo load of big ship in the drought period on the stakeholders and the system are investigated. The results show that: (i) the government always tends to subsidize the carrier at each port in the plentiful period for a large duration ratio, but to subsidize the carrier at its competitive port in the drought period for a small duration ratio and a low cargo load of a big ship at each port; and (ii) a single big (or small) ship type strategy will underestimate (or overestimate) the ship fleet size for a low cargo load of a big ship in the drought period. The method proposed in this paper can serve as a useful tool for the fleet size plan for the carriers and for port regulation for the government so as to achieve a ""win-win-win"" outcome among consignors, carriers and port operator.";Huazhong Univ Sci & Technol, Sch Management, Wuhan 430074, Peoples R China;Huazhong University of Science & Technology;0967-070X;2025;10.1016/j.tranpol.2025.03.005;WOS:001446439700001;['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  50'];JUN;166;108;123;;;;;-1;Optimal ship fleet size in an inland river corridor with seasonal change in waterway depth;"10.1016/j.tranpol.2025.03.005
";"Inland river transport; Ship fleet size; Seasonal waterway depth; Vertical structure model; OFF-PEAK PERIODS; CLIMATE-CHANGE; DEPLOYMENT; TRANSPORT; SPEED; SERVICE; DESIGN"
583;583;CPAPER;GREEN LOGISTICS AS A PART OF CORPORATE SOCIAL RESPONSIBILITY IN THE PROCESS OF GLOBALIZATION;GLOBALIZATION AND ITS SOCIO-ECONOMIC CONSEQUENCES, PTS I - VI;English;['Corporate Social Responsibility', 'Green Logistics', 'Globalization', 'SUPPLY CHAIN MANAGEMENT', 'ISSUES'];To maintain a competitive advantage, companies' ability to adopt methods and techniques in the field of energy efficiency enhancement enhances customer loyalty and builds an image and also helps to demonstrate the energy and environmental responsibility of the business. The use of energy in individual areas of the enterprise is influenced by the different technologies, processes and products used energy sources and prices, political, economic and business situation. When we extend the environment to society as such, we can talk about sustainable logistics. By integrating energy use and sustainable green logistics, we can contribute to energy efficiency in production and green logistics. The article deals with the application of green logistics as a part of Corporate Social Responsibility in the ongoing process of globalization. The key to understanding the CSR concept is the organization's goal. A socially responsible company is not only aimed at maximizing profits, but its goals are based on the needs of the internal and external environment and include the social and environmental aspects of its activities. The aim of this article is to focus on the most important application areas of corporate social responsibility associated with green marketing in the globalization process, where social interactions are being interconnected, linking different sites in such a way that events occurring in geographically distant areas affect events occurring at home.;Univ Zilina, Fac Operat & Econ Transport & Commun, Dept Econ, Univ 1, Zilina 01026, Slovakia;University of Zilina;978-80-8154-212-1;2017;;WOS:000685059200036;['Times Cited in Web of Science Core Collection:  1', 'Total Times Cited:  1', 'Cited Reference Count:  24'];;;268;275;;;;;-1;GREEN LOGISTICS AS A PART OF CORPORATE SOCIAL RESPONSIBILITY IN THE PROCESS OF GLOBALIZATION;;"Corporate Social Responsibility; Green Logistics; Globalization; SUPPLY CHAIN MANAGEMENT; ISSUES"
589;589;JOUR;Deep learning-assisted real-time defect detection and closed-loop adjustment for additive manufacturing of continuous fiber-reinforced polymer composites;ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING;English;['Deep learning', 'Continuous fiber-reinforced composites', 'Defect detection', 'Additive manufacturing', 'COMPUTER VISION'];Real-time defect detection and closed-loop adjustment of additive manufacturing (AM) are essential to ensure the quality of as-fabricated products, especially for carbon fiber reinforced polymer (CFRP) composites via AM. Machine learning is typically limited to the application of online monitoring of AM systems due to a lack of accurate and accessible databases. In this work, a system is developed for real-time identification of defective regions, and closed-loop adjustment of process parameters for robot-based CFRP AM is validated. The main novelty is the development of a deep learning model for defect detection, classification, and evaluation in realtime with high accuracy. The proposed method is able to identify two types of CFRP defects (i.e., misalignment and abrasion). The combined deep learning with geometric analysis of the level of misalignment is applied to quantify the severity of individual defects. A deep learning approach is successfully developed for the online detection of defects, and the defects are effectively controlled by closed-loop adjustment of process parameters, which is never achievable in any conventional methods of composite fabrication.;Northwestern Polytech Univ, Unmanned Syst Res Inst, Xian 710072, Shaanxi, Peoples R China;Northwestern Polytechnical University;0736-5845;2023;10.1016/j.rcim.2022.102431;WOS:000843304800001;['Times Cited in Web of Science Core Collection:  64', 'Total Times Cited:  67', 'Cited Reference Count:  45'];FEB;79;;;;102431;AUG 2022;;-1;Deep learning-assisted real-time defect detection and closed-loop adjustment for additive manufacturing of continuous fiber-reinforced polymer composites;"10.1016/j.rcim.2022.102431
";"Deep learning; Continuous fiber-reinforced composites; Defect detection; Additive manufacturing; COMPUTER VISION"
598;598;JOUR;Implementation of circular economy principles during pre-construction stage: the case of Sri Lanka;BUILT ENVIRONMENT PROJECT AND ASSET MANAGEMENT;English;['Circular economy', 'R principles', 'Construction', 'Environmental sustainability', 'Pre-construction stage', 'Sri Lanka', 'REVERSE LOGISTICS', 'CONSTRUCTION', 'INDUSTRY', 'DESIGN'];Purpose Despite the positive impacts of the construction sector on enhancing economic growth and ensuring societal well-being, its negative impacts on the environment from unsustainable resource consumption levels, emission of greenhouse gases (GHGs) and waste generation is monumental. Circular economy (CE) concept is identified globally as an avenue to address problems regarding adverse impacts of construction on the environment. This paper presents the principles of CE as an avenue for enhancing environmental sustainability during the pre-construction stage within Sri Lankan construction projects. Design/methodology/approach This research was approached through a qualitative research method. Data were collected through semi-structured interviews with subject matter experts. The number of experts were limited due to lack of experts with knowledge on the subject area in Sri Lanka. Data were analysed using content analysis. Findings Findings revealed a range of activities under each R principle of CE, that is, reduce, reuse, recycle, redesign, reclassification and renewability that could be implemented during the pre-construction stage, thereby providing a guide for construction professionals in implementing CE at the pre-construction stage. The need to expand knowledge on CE concepts within the Sri Lankan construction sector was recognized. Originality/value This study provides a qualitative in-depth perspective on how 6R principles of CE could be integrated to a construction project during the pre-construction stage. By adopting the proposed activities under CE principles, construction professionals can enhance the environmental sustainability of construction projects.;Univ Moratuwa, Dept Bldg Econ, Moratuwa, Sri Lanka;University Moratuwa;2044-124X;2021;10.1108/BEPAM-04-2020-0072;WOS:000619448000001;['Times Cited in Web of Science Core Collection:  18', 'Total Times Cited:  18', 'Cited Reference Count:  60'];OCT 21;11;750;766;4;;FEB 2021;;-1;Implementation of circular economy principles during pre-construction stage: the case of Sri Lanka;"10.1108/BEPAM-04-2020-0072
";"Circular economy; R principles; Construction; Environmental sustainability; Pre-construction stage; Sri Lanka; REVERSE LOGISTICS; CONSTRUCTION; INDUSTRY; DESIGN"
618;618;JOUR;Industrial location in developing countries;WORLD BANK RESEARCH OBSERVER;English;['PUBLIC INFRASTRUCTURE', 'ECONOMIC-PERFORMANCE', 'PRODUCTIVITY', 'AGGLOMERATION', 'URBANIZATION', 'GROWTH'];Despite a diminishing role in industrial countries, the manufacturing sector continues to be an engine of economic growth in most developing countries. This article surveys the evidence on the determinants of industry location in developing countries. It also employs micro data for India and Indonesia to illustrate recent spatial dynamics of manufacturing relocation within urban agglomerations. Both theory and empirical evidence suggest that agglomeration benefits, market access, and infrastructure endowments in large cities outweigh the costs of congestion, higher wages, and land prices. Despite this evidence, many countries have tried to encourage industrial firms to locate in secondary cities or other lagging areas. Cross-country evidence suggests that fiscal incentives to do so rarely succeed. They appear to influence business location decisions among comparable locations, but the result may be a negative-sum game between regions and inefficiently low tax rates, which prevent public goods from being funded at sufficiently high levels. Relocation tends to be within and between agglomerations rather than from large cities to smaller cities or lagging regions. Rather than provide subsidies and tax breaks, policymakers should focus on streamlining laws and regulations to make the business environment more attractive.;World Bank, Dev Res Grp, Washington, DC 20433 USA;The World Bank;0257-3032;2008;10.1093/wbro/lkn007;WOS:000258331800005;['Times Cited in Web of Science Core Collection:  44', 'Total Times Cited:  48', 'Cited Reference Count:  68'];FAL;23;219;246;2;;;;-1;Industrial location in developing countries;"10.1093/wbro/lkn007
";"PUBLIC INFRASTRUCTURE; ECONOMIC-PERFORMANCE; PRODUCTIVITY; AGGLOMERATION; URBANIZATION; GROWTH"
626;626;JOUR;Investigating the impact of ICT on transport-based CO2 emissions: empirical evidence from a quantile cointegration regression analysis;ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH;English;['ICT', 'CO2 emission from transport', 'Panel quantile autoregressive distributed lag', 'Sub-Saharan Africa', 'CARBON-DIOXIDE EMISSIONS', 'ECONOMIC-GROWTH', 'COMMUNICATION TECHNOLOGIES', 'ENERGY-CONSUMPTION', 'INTERNET USAGE', 'OECD COUNTRIES', 'TIME-SERIES', 'PANEL', 'INFORMATION', 'SECTOR'];In the global initiative to leverage information and communication technologies (ICT) for reducing emissions, sub-Saharan Africa (SSA), a region of unique significance, has exhibited a delay in adopting ICT. This study aims to investigate the intricate relationship between ICT and carbon dioxide (CO2) emissions from transport in SSA. Employing the panel quantile autoregressive distributed lag (PQARDL) technique, the study analyzes panel data from 24 SSA nations spanning from 2000 to 2021. The results indicate that internet usage and fixed telephone subscriptions have a mitigating effect on CO2 emissions from transport across all quantiles in both the short and long run. However, mobile phone subscriptions contribute to CO2 emissions from transport across all quantiles. Additionally, the middle-income groups demonstrate negative relationships between ICT variables and emissions from transport, while the low-income group exhibits significant positive associations. These findings imply that ICT plays a pivotal role in mitigating transport-based emissions and reveal pronounced disparities in ICT adoption across various income groups within SSA, highlighting overarching underdevelopment in ICT infrastructure. Robustness checks employing a two-step system generalized method of moment (GMM) model reinforce our findings. The study provides policy recommendations, including the promotion of ICT infrastructure development, implementation of smart transportation solutions, and fostering public-private partnerships to address these challenges, shedding light on the path toward a greener and more sustainable transport ecosystem in SSA.;Jiangsu Univ, Sch Finance & Econ, Zhenjiang 212013, Jiangsu, Peoples R China;Jiangsu University;0944-1344;2024;10.1007/s11356-023-31395-7;WOS:001127334200007;['Times Cited in Web of Science Core Collection:  5', 'Total Times Cited:  5', 'Cited Reference Count:  118'];JAN;31;4606;4629;3;;DEC 2023;;-1;Investigating the impact of ICT on transport-based CO2 emissions: empirical evidence from a quantile cointegration regression analysis;"10.1007/s11356-023-31395-7
";"ICT; CO2 emission from transport; Panel quantile autoregressive distributed lag; Sub-Saharan Africa; CARBON-DIOXIDE EMISSIONS; ECONOMIC-GROWTH; COMMUNICATION TECHNOLOGIES; ENERGY-CONSUMPTION; INTERNET USAGE; OECD COUNTRIES; TIME-SERIES; PANEL; INFORMATION; SECTOR"
665;665;JOUR;Consumers' Willingness to Pay for Agri-Food Products Delivered with Electric Vehicles in the Short Supply Chains;FIIB BUSINESS REVIEW;English;['Consumer perception', 'sustainable transportation', 'farmers market', 'environmental awareness', 'behavioural reasoning theory', 'ORGANIC FOOD', 'COMMUNITY NETWORKS', 'SUSTAINABILITY', 'BEHAVIOR', 'PREFERENCES', 'INFORMATION', 'CONSUMPTION', 'INTENTIONS', 'QUALITY', 'INNOVATION'];This study aims at investigating the consumers' willingness to pay (WTP) for agri-food products delivered in the farmers markets with electric vehicles (EVs). The empirical analysis has been carried out by administering an online questionnaire to 273 consumers within a hypothetical context. A multiple price list has been provided in order to measure the price premium for 1 kg of oranges transported by EVs comparing with the ones transported by traditional vehicles. A Tobit regression model has been used for the data analysis in order to identify the most influential factors affecting the consumers' WTP. Results suggest that consumers' WTP is mainly influenced by environmental attitudes, knowledge and possibility of engaging in responsible purchasing, and the approval of friends and relatives (social norms). This study delivers insights into support both farmers' choice to invest in EVs and policymakers to develop policies promoting this transition process. The main limitations of this study are related to the use of a random sample of respondents and to the social desirability bias linked to self-reported questions.;Univ Palermo, Dept Agr Food & Forest Sci, Viale Sci, I-90128 Palermo, Italy;University of Palermo;2319-7145;2023;10.1177/23197145221112743;WOS:000980470100007;['Times Cited in Web of Science Core Collection:  16', 'Total Times Cited:  17', 'Cited Reference Count:  105'];JUN;12;193;207;2;;;;-1;Consumers' Willingness to Pay for Agri-Food Products Delivered with Electric Vehicles in the Short Supply Chains;"10.1177/23197145221112743
";"Consumer perception; sustainable transportation; farmers market; environmental awareness; behavioural reasoning theory; ORGANIC FOOD; COMMUNITY NETWORKS; SUSTAINABILITY; BEHAVIOR; PREFERENCES; INFORMATION; CONSUMPTION; INTENTIONS; QUALITY; INNOVATION"
676;676;JOUR;A Matching Policy to Address ESG and Non-ESG Risks Impacted by a Relocation Policy in China's Chemical Industry;SUSTAINABILITY;English;['industrial transfer', 'chemical enterprise', 'chemical park', 'ESG risks', 'mismatching errors', 'matching policy', 'policy innovation', 'a deferred acceptance mechanism', 'greenwashing', 'just transition', 'NATURAL EXPERIMENT', 'MECHANISMS', 'PARKS', 'DETERMINANTS', 'STABILITY', 'FAIRNESS', 'ECONOMY', 'CITIES'];China's chemical industry has faced severe environmental, social, and governance (ESG) issues, such as high safety and environmental accidents and risks. To address these issues and promote industrial upgrading, China's central government has issued a national relocation and improvement policy targeting its chemical industry. However, its countrywide policy implementation may also lead to other ESG risks during the relocation of chemical enterprises, namely industrial transfer. The typical ESG risks that appear to occur in developed eastern region provinces include a one-size-fits-all solution and unemployment, while less developed central and western region provinces may encounter pollution transfer, carbon leakage, environmental injustice, and health disparities. These ESG risks might overlap with other economic and financial (non-ESG) risks, like stranded assets, industry hollowing-out, and debt sustainability issue. These ESG and non-ESG risks could result from potential mismatches between chemical enterprises and chemical parks, categorized as mismatching errors explained by social-ecological systems, behavioral economics, and information economics. To better manage these risks, we propose an ESG matching policy comprising a national standardized ESG scoring and ranking system, a deferred acceptance mechanism, and a score announcement instrument. Such a policy innovation aims at achieving fair and efficient chemical enterprise-chemical park pairs, which would help manage both ESG and non-ESG risks and provide a just transition toolkit for China and other developing countries.;Duke Univ, Nicholas Sch Environm, Durham, NC 27708 USA;Duke University;2071-1050;2024;10.3390/su16229760;WOS:001366044600001;['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  53'];NOV;16;;;22;9760;;;-1;A Matching Policy to Address ESG and Non-ESG Risks Impacted by a Relocation Policy in China's Chemical Industry;"10.3390/su16229760
";"industrial transfer; chemical enterprise; chemical park; ESG risks; mismatching errors; matching policy; policy innovation; a deferred acceptance mechanism; greenwashing; just transition; NATURAL EXPERIMENT; MECHANISMS; PARKS; DETERMINANTS; STABILITY; FAIRNESS; ECONOMY; CITIES"
691;691;JOUR;A Deep-Learning Approach to Detect and Classify Heavy-Duty Trucks in Satellite Images;IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS;English;['Containers', 'Satellite images', 'Object detection', 'Vehicle detection', 'Detectors', 'Public healthcare', 'Proposals', 'Port-side heavy-duty trucks', 'deep learning', 'object detection', 'satellite images', 'GIS', 'model ensemble', 'CLASSIFICATION'];Heavy-duty trucks serve as the backbone of the supply chain and have a tremendous effect on the economy. However, they severely impact the environment and public health. This study presents a novel truck detection framework by combining satellite imagery with Geographic Information System (GIS)-based OpenStreetMap data to capture the distribution of heavy-duty trucks and shipping containers in both on-road and off-road locations with extensive spatial coverage. The framework involves modifying the CenterNet detection algorithm to detect randomly oriented trucks in satellite images and enhancing the model through ensembling with Mask RCNN, a segmentation-based algorithm. GIS information refines and improves the model's prediction results. Applied to part of Southern California, including the Port of Los Angeles and Long Beach, the framework helps assess the environmental impact of heavy-duty trucks in port-adjacent communities and understand truck density patterns along major freight corridors. This research has implications for policy, practice, and future research.;Univ Calif Irvine, Sch Informat & Comp Sci, Irvine, CA 92697 USA;University of California System;1524-9050;2024;10.1109/TITS.2024.3431452;WOS:001303427800001;['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  50'];OCT;25;13323;13338;10;;AUG 2024;;-1;A Deep-Learning Approach to Detect and Classify Heavy-Duty Trucks in Satellite Images;"10.1109/TITS.2024.3431452
";"Containers; Satellite images; Object detection; Vehicle detection; Detectors; Public healthcare; Proposals; Port-side heavy-duty trucks; deep learning; object detection; satellite images; GIS; model ensemble; CLASSIFICATION"
705;705;JOUR;A comprehensive socio-economic assessment of EU climate policy pathways;ECOLOGICAL ECONOMICS;English;['Climate policy', 'Model linking', 'Policy packages', 'European Union', 'Just transition', 'DIFFERENTIATED CARBON PRICES', 'IMPACTS', 'COST'];The European Green Deal aims to put the EU on track towards climate neutrality by 2050. One of the key elements is a more stringent greenhouse gas emission reduction target of 55% below 1990 levels by 2030. We analyse the socio-economic consequences of alternative policy pathways to reach that target, either relying more on regulatory standards, on carbon pricing, or a mix of both. We develop a modelling framework that captures macro-economic and sectoral impacts and closely aligns economic and energy system modelling. We further decompose aggregate labour market outcomes into skill and occupation types, and downscale representative household results to micro-level household data to evaluate the distributional effects across income groups with heterogeneous expenditure patterns. By combining models and datasets, our framework enables incorporating a high degree of technological detail while revealing socio-economic aspects of the transition that may go unnoticed in coarse, aggregate assessments. In particular, our results highlight the heterogeneous impacts of climate policy across sectors, worker skill types and income groups, which may require particular attention in climate policy design and corresponding complementary measures to ensure a fair transition to a low-carbon economy.;European Commiss, Joint Res Ctr JRC, Seville, Spain;University of Central Asia;0921-8009;2023;10.1016/j.ecolecon.2022.107660;WOS:000891305300002;['Times Cited in Web of Science Core Collection:  25', 'Total Times Cited:  25', 'Cited Reference Count:  45'];FEB;204;;;;107660;;;-1;A comprehensive socio-economic assessment of EU climate policy pathways;"10.1016/j.ecolecon.2022.107660
";"Climate policy; Model linking; Policy packages; European Union; Just transition; DIFFERENTIATED CARBON PRICES; IMPACTS; COST"
757;757;JOUR;Impact of CR Express and intermodal freight transport competition on China-Europe Route: Emission and welfare implications;TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE;English;['Intermodal competition', 'CR Express', 'Maritime shipping', 'China-Europe route', 'Emission', 'Welfare', 'HIGH-SPEED RAIL', 'GREENHOUSE-GAS EMISSIONS', 'MULTI-AIRPORT SYSTEM', 'AIR TRANSPORT', 'BELT', 'ROAD', 'TRADE', 'COOPERATION', 'GOVERNANCE', 'MITIGATION'];China Railway Express (CR Express) has been fast developed, offering an alternative to transportation of the containerized cargo between China and Europe. This paper examines CO2 emissions and social welfare implications of the intermodal competition between the emerging CR Express and incumbent maritime shipping. An analytical model is developed, which shows that the implications depend in general on the relative emission intensities of the two transport modes on a per-trip basis. The entry of CR Express and the resultant intermodal competition, while likely improving welfare, will increase emissions unless CR Express is sufficiently emission efficient. Such impacts on emissions and welfare are enhanced when there are more CR Express operators, or when there are fewer shipping carriers. The competition among Chinese local governments in supporting their own CR Express services also strengthens the impacts. The analytical model is further calibrated with real market and operational data on the route between China's Yangtze River Delta and Central Europe. Our numerical simulations show that intermodal competition leads to more emissions unless CR Express can achieve an approximately 90% reduction in emission intensity and that overall welfare is nonetheless improved. Policy and managerial implications are discussed.;Univ British Columbia, Sauder Sch Business, Vancouver, BC, Canada;University of British Columbia;0965-8564;2023;10.1016/j.tra.2023.103642;WOS:001033463000001;['Times Cited in Web of Science Core Collection:  16', 'Total Times Cited:  16', 'Cited Reference Count:  74'];MAY;171;;;;103642;MAR 2023;;-1;Impact of CR Express and intermodal freight transport competition on China-Europe Route: Emission and welfare implications;"10.1016/j.tra.2023.103642
";"Intermodal competition; CR Express; Maritime shipping; China-Europe route; Emission; Welfare; HIGH-SPEED RAIL; GREENHOUSE-GAS EMISSIONS; MULTI-AIRPORT SYSTEM; AIR TRANSPORT; BELT; ROAD; TRADE; COOPERATION; GOVERNANCE; MITIGATION"
769;769;CPAPER;Interactive Simulation To Explore Urban Distribution Schemes;21ST EURO WORKING GROUP ON TRANSPORTATION MEETING (EWGT 2018);English;['city logistics', 'interactive simulation', 'decision support', 'multimodality'];The goal of building a shared vision about city logistics is often obstructed by the diversity of its actors (authorities, carriers, shippers, etc.). As an example, urban deliveries are sometimes not taken into account in the urban planning of cities or are simply misunderstood. This reality highlights the need for accessible and straightforward decision support tools in this field. In this work an interactive simulation is proposed as a playful tool to disseminate theoretical results from academia and lessons learned towards non-experts, who can easily interact with a model. The proposed interactive simulator aims at helping actors to broadly share and enlarge their perspective about a specific problem. That is, identifying the different objectives and constraints of other actors and converging towards a collective solution to the problem at hand. A trial was performed with 28 participants that explored and compared two different distribution schemes using interactive simulation. Positive feedback from the participants shows promising perspectives for this type of tool. (C) 2019 The Authors. Published by Elsevier Ltd.;PSL Res Univ, MINES ParisTech, Ctr Robot, 60 Bd St Michel, F-75006 Paris, France;Universite PSL;2352-1465;2019;10.1016/j.trpro.2018.12.168;WOS:000471043300010;['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  16'];;37;75;82;;;;;-1;Interactive Simulation To Explore Urban Distribution Schemes;"10.1016/j.trpro.2018.12.168
";"city logistics; interactive simulation; decision support; multimodality"
776;776;JOUR;Can blockchain technologies enhance environmental sustainable development goals performance in manufacturing firms? Potential mediation of green supply chain management practices;BUSINESS STRATEGY AND THE ENVIRONMENT;English;['blockchain technology', 'environmental SDGs', 'green supply chain management', 'ADOPTION', 'ACCEPTANCE', 'FRAMEWORK'];The nexus between manufacturing firms and the green environment is unavoidable. It is merely due to the huge waste generation and greenhouse gas emissions resulting from large-scale production and complex supply chain management processes involved in manufacturing firms. Continuation of the traditional business practices during Industry 4.0 made it impossible for the manufacturing firm to commit to green environmental practices and comply with environmental SDGs. At odd, it requires novel business strategies to ensure compliance of manufacturing firms with environmental sustainable development goals (SDGs). Blockchain is an ideal technology for delivering green environmental-related information because it offers real-time, shareable, and entirely transparent data kept on an immutable ledger that is accessible to members of a network. These green environmental-related information received in real-time through blockchain technology help in the transformation of the traditional supply chain management practices into a more green supply chain management practice. This green transformation ensures business compliance with environmental SDGs and that compliance is shared with multiple stakeholders through blockchain technology in real-time, thus approving a positive mediating role of green supply chain management practices between blockchain technology and environmental SDGs performance. The proposed strategic framework through various propositions development will mainly offer policy insights toward (a) identifying novel antecedents of blockchain technology, (b) offering insights toward upgrading the traditional supply chain management framework into a green supply chain management framework, and (c) illuminating novel mediating role of green supply chain management practices between blockchain technology and environmental SDGs performance.;Wenzhou Kean Univ, Coll Business & Publ Management, Sch Management & Mkt, Wenzhou, Peoples R China;Wenzhou-Kean University;0964-4733;2024;10.1002/bse.3579;WOS:001073236300001;['Times Cited in Web of Science Core Collection:  18', 'Total Times Cited:  18', 'Cited Reference Count:  81'];MAR;33;2004;2019;3;;OCT 2023;;-1;Can blockchain technologies enhance environmental sustainable development goals performance in manufacturing firms? Potential mediation of green supply chain management practices;"10.1002/bse.3579
";"blockchain technology; environmental SDGs; green supply chain management; ADOPTION; ACCEPTANCE; FRAMEWORK"
