country,decile,year,data_level,ewbi_score,eu_priority_score,secondary_score,primary_score,eu_priority,secondary_indicator,primary_index
AT,All Deciles,2007,Secondary Indicator,,,0.359038644324023,,Agriculture and Food,Nutrition expense,
AT,All Deciles,2007,Secondary Indicator,,,0.8317171846113065,,Energy and Housing,Housing quality,
AT,All Deciles,2007,Secondary Indicator,,,0.4318723017489621,,Energy and Housing,Energy,
AT,All Deciles,2007,Secondary Indicator,,,0.359579074290514,,Energy and Housing,Housing expense,
AT,All Deciles,2007,Secondary Indicator,,,0.8242540025268597,,Equality,Life satisfaction,
AT,All Deciles,2007,Secondary Indicator,,,0.6938148107580038,,Equality,Security,
AT,All Deciles,2007,Secondary Indicator,,,0.8529222448679942,,Equality,Community,
AT,All Deciles,2007,Secondary Indicator,,,0.9564896859232388,,Equality,Digital Skills,
AT,All Deciles,2007,Secondary Indicator,,,0.5925738916721864,,Health and Animal Welfare,Health condition and impact,
AT,All Deciles,2007,Secondary Indicator,,,0.3716082935838118,,Health and Animal Welfare,Health cost and medical care,
AT,All Deciles,2007,Secondary Indicator,,,0.6531465770886796,,Health and Animal Welfare,Accidents and addictive behaviour,
AT,All Deciles,2007,Secondary Indicator,,,1.0,,"Intergenerational Fairness, Youth, Culture and Sport",Education,
AT,All Deciles,2007,Secondary Indicator,,,0.0814616458430279,,"Intergenerational Fairness, Youth, Culture and Sport",Education expense,
AT,All Deciles,2007,Secondary Indicator,,,0.3722780054797515,,"Intergenerational Fairness, Youth, Culture and Sport",Leisure and culture,
AT,All Deciles,2007,Secondary Indicator,,,0.6860361815350471,,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,
AT,All Deciles,2007,Secondary Indicator,,,0.7490491610886189,,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,
AT,All Deciles,2007,Secondary Indicator,,,0.2920781708168885,,Sustainable Transport and Tourism,Transport,
AT,All Deciles,2007,Secondary Indicator,,,0.8726574607365748,,Sustainable Transport and Tourism,Tourism,
AT,All Deciles,2008,EWBI,0.5535749756881893,,,,,,
AT,All Deciles,2008,EU Priority,,0.4653612841190774,,,Agriculture and Food,,
AT,All Deciles,2008,EU Priority,,0.5410561868835942,,,Energy and Housing,,
AT,All Deciles,2008,EU Priority,,0.8318701860190241,,,Equality,,
AT,All Deciles,2008,EU Priority,,0.5391095874482259,,,Health and Animal Welfare,,
AT,All Deciles,2008,EU Priority,,0.4845798837742598,,,"Intergenerational Fairness, Youth, Culture and Sport",,
AT,All Deciles,2008,EU Priority,,0.7175426713118329,,,"Social Rights and Skills, Quality Jobs and Preparedness",,
AT,All Deciles,2008,EU Priority,,0.5823678157767317,,,Sustainable Transport and Tourism,,
AT,All Deciles,2008,Secondary Indicator,,,0.5716839239141318,,Agriculture and Food,Nutrition need,
AT,All Deciles,2008,Secondary Indicator,,,0.359038644324023,,Agriculture and Food,Nutrition expense,
AT,All Deciles,2008,Secondary Indicator,,,0.8317171846113065,,Energy and Housing,Housing quality,
AT,All Deciles,2008,Secondary Indicator,,,0.4318723017489621,,Energy and Housing,Energy,
AT,All Deciles,2008,Secondary Indicator,,,0.359579074290514,,Energy and Housing,Housing expense,
AT,All Deciles,2008,Secondary Indicator,,,0.8242540025268597,,Equality,Life satisfaction,
AT,All Deciles,2008,Secondary Indicator,,,0.6938148107580038,,Equality,Security,
AT,All Deciles,2008,Secondary Indicator,,,0.8529222448679942,,Equality,Community,
AT,All Deciles,2008,Secondary Indicator,,,0.9564896859232388,,Equality,Digital Skills,
AT,All Deciles,2008,Secondary Indicator,,,0.5925738916721864,,Health and Animal Welfare,Health condition and impact,
AT,All Deciles,2008,Secondary Indicator,,,0.3716082935838118,,Health and Animal Welfare,Health cost and medical care,
AT,All Deciles,2008,Secondary Indicator,,,0.6531465770886796,,Health and Animal Welfare,Accidents and addictive behaviour,
AT,All Deciles,2008,Secondary Indicator,,,1.0,,"Intergenerational Fairness, Youth, Culture and Sport",Education,
AT,All Deciles,2008,Secondary Indicator,,,0.0814616458430279,,"Intergenerational Fairness, Youth, Culture and Sport",Education expense,
AT,All Deciles,2008,Secondary Indicator,,,0.3722780054797515,,"Intergenerational Fairness, Youth, Culture and Sport",Leisure and culture,
AT,All Deciles,2008,Secondary Indicator,,,0.6860361815350471,,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,
AT,All Deciles,2008,Secondary Indicator,,,0.7490491610886189,,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,
AT,All Deciles,2008,Secondary Indicator,,,0.2920781708168885,,Sustainable Transport and Tourism,Transport,
AT,All Deciles,2008,Secondary Indicator,,,0.8726574607365748,,Sustainable Transport and Tourism,Tourism,
AT,All Deciles,2009,EWBI,0.5542317151542521,,,,,,
AT,All Deciles,2009,EU Priority,,0.4653612841190774,,,Agriculture and Food,,
AT,All Deciles,2009,EU Priority,,0.5410561868835942,,,Energy and Housing,,
AT,All Deciles,2009,EU Priority,,0.8318701860190241,,,Equality,,
AT,All Deciles,2009,EU Priority,,0.5391095874482259,,,Health and Animal Welfare,,
AT,All Deciles,2009,EU Priority,,0.4845798837742598,,,"Intergenerational Fairness, Youth, Culture and Sport",,
AT,All Deciles,2009,EU Priority,,0.7175426713118329,,,"Social Rights and Skills, Quality Jobs and Preparedness",,
AT,All Deciles,2009,EU Priority,,0.5823678157767317,,,Sustainable Transport and Tourism,,
AT,All Deciles,2009,Secondary Indicator,,,0.5716839239141318,,Agriculture and Food,Nutrition need,
AT,All Deciles,2009,Secondary Indicator,,,0.359038644324023,,Agriculture and Food,Nutrition expense,
AT,All Deciles,2009,Secondary Indicator,,,0.8317171846113065,,Energy and Housing,Housing quality,
AT,All Deciles,2009,Secondary Indicator,,,0.4318723017489621,,Energy and Housing,Energy,
AT,All Deciles,2009,Secondary Indicator,,,0.359579074290514,,Energy and Housing,Housing expense,
AT,All Deciles,2009,Secondary Indicator,,,0.8242540025268597,,Equality,Life satisfaction,
AT,All Deciles,2009,Secondary Indicator,,,0.6938148107580038,,Equality,Security,
AT,All Deciles,2009,Secondary Indicator,,,0.8529222448679942,,Equality,Community,
AT,All Deciles,2009,Secondary Indicator,,,0.9564896859232388,,Equality,Digital Skills,
AT,All Deciles,2009,Secondary Indicator,,,0.5925738916721864,,Health and Animal Welfare,Health condition and impact,
AT,All Deciles,2009,Secondary Indicator,,,0.3716082935838118,,Health and Animal Welfare,Health cost and medical care,
AT,All Deciles,2009,Secondary Indicator,,,0.6531465770886796,,Health and Animal Welfare,Accidents and addictive behaviour,
AT,All Deciles,2009,Secondary Indicator,,,1.0,,"Intergenerational Fairness, Youth, Culture and Sport",Education,
AT,All Deciles,2009,Secondary Indicator,,,0.0814616458430279,,"Intergenerational Fairness, Youth, Culture and Sport",Education expense,
AT,All Deciles,2009,Secondary Indicator,,,0.3722780054797515,,"Intergenerational Fairness, Youth, Culture and Sport",Leisure and culture,
AT,All Deciles,2009,Secondary Indicator,,,0.6860361815350471,,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,
AT,All Deciles,2009,Secondary Indicator,,,0.7490491610886189,,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,
AT,All Deciles,2009,Secondary Indicator,,,0.2920781708168885,,Sustainable Transport and Tourism,Transport,
AT,All Deciles,2009,Secondary Indicator,,,0.8726574607365748,,Sustainable Transport and Tourism,Tourism,
AT,All Deciles,2010,EWBI,0.5524979241030019,,,,,,
AT,All Deciles,2010,EU Priority,,0.4653612841190774,,,Agriculture and Food,,
AT,All Deciles,2010,EU Priority,,0.5410561868835942,,,Energy and Housing,,
AT,All Deciles,2010,EU Priority,,0.8318701860190241,,,Equality,,
AT,All Deciles,2010,EU Priority,,0.5391095874482259,,,Health and Animal Welfare,,
AT,All Deciles,2010,EU Priority,,0.4845798837742598,,,"Intergenerational Fairness, Youth, Culture and Sport",,
AT,All Deciles,2010,EU Priority,,0.7175426713118329,,,"Social Rights and Skills, Quality Jobs and Preparedness",,
AT,All Deciles,2010,EU Priority,,0.5823678157767317,,,Sustainable Transport and Tourism,,
AT,All Deciles,2010,Secondary Indicator,,,0.5716839239141318,,Agriculture and Food,Nutrition need,
AT,All Deciles,2010,Secondary Indicator,,,0.359038644324023,,Agriculture and Food,Nutrition expense,
AT,All Deciles,2010,Secondary Indicator,,,0.8317171846113065,,Energy and Housing,Housing quality,
AT,All Deciles,2010,Secondary Indicator,,,0.4318723017489621,,Energy and Housing,Energy,
AT,All Deciles,2010,Secondary Indicator,,,0.359579074290514,,Energy and Housing,Housing expense,
AT,All Deciles,2010,Secondary Indicator,,,0.8242540025268597,,Equality,Life satisfaction,
AT,All Deciles,2010,Secondary Indicator,,,0.6938148107580038,,Equality,Security,
AT,All Deciles,2010,Secondary Indicator,,,0.8529222448679942,,Equality,Community,
AT,All Deciles,2010,Secondary Indicator,,,0.9564896859232388,,Equality,Digital Skills,
AT,All Deciles,2010,Secondary Indicator,,,0.5925738916721864,,Health and Animal Welfare,Health condition and impact,
AT,All Deciles,2010,Secondary Indicator,,,0.3716082935838118,,Health and Animal Welfare,Health cost and medical care,
AT,All Deciles,2010,Secondary Indicator,,,0.6531465770886796,,Health and Animal Welfare,Accidents and addictive behaviour,
AT,All Deciles,2010,Secondary Indicator,,,1.0,,"Intergenerational Fairness, Youth, Culture and Sport",Education,
AT,All Deciles,2010,Secondary Indicator,,,0.0814616458430279,,"Intergenerational Fairness, Youth, Culture and Sport",Education expense,
AT,All Deciles,2010,Secondary Indicator,,,0.3722780054797515,,"Intergenerational Fairness, Youth, Culture and Sport",Leisure and culture,
AT,All Deciles,2010,Secondary Indicator,,,0.6860361815350471,,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,
AT,All Deciles,2010,Secondary Indicator,,,0.7490491610886189,,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,
AT,All Deciles,2010,Secondary Indicator,,,0.2920781708168885,,Sustainable Transport and Tourism,Transport,
AT,All Deciles,2010,Secondary Indicator,,,0.8726574607365748,,Sustainable Transport and Tourism,Tourism,
AT,All Deciles,2011,EWBI,0.55589195251392,,,,,,
AT,All Deciles,2011,EU Priority,,0.4653612841190774,,,Agriculture and Food,,
AT,All Deciles,2011,EU Priority,,0.5410561868835942,,,Energy and Housing,,
AT,All Deciles,2011,EU Priority,,0.8318701860190241,,,Equality,,
AT,All Deciles,2011,EU Priority,,0.5391095874482259,,,Health and Animal Welfare,,
AT,All Deciles,2011,EU Priority,,0.4845798837742598,,,"Intergenerational Fairness, Youth, Culture and Sport",,
AT,All Deciles,2011,EU Priority,,0.7175426713118329,,,"Social Rights and Skills, Quality Jobs and Preparedness",,
AT,All Deciles,2011,EU Priority,,0.5823678157767317,,,Sustainable Transport and Tourism,,
AT,All Deciles,2011,Secondary Indicator,,,0.5716839239141318,,Agriculture and Food,Nutrition need,
AT,All Deciles,2011,Secondary Indicator,,,0.359038644324023,,Agriculture and Food,Nutrition expense,
AT,All Deciles,2011,Secondary Indicator,,,0.8317171846113065,,Energy and Housing,Housing quality,
AT,All Deciles,2011,Secondary Indicator,,,0.4318723017489621,,Energy and Housing,Energy,
AT,All Deciles,2011,Secondary Indicator,,,0.359579074290514,,Energy and Housing,Housing expense,
AT,All Deciles,2011,Secondary Indicator,,,0.8242540025268597,,Equality,Life satisfaction,
AT,All Deciles,2011,Secondary Indicator,,,0.6938148107580038,,Equality,Security,
AT,All Deciles,2011,Secondary Indicator,,,0.8529222448679942,,Equality,Community,
AT,All Deciles,2011,Secondary Indicator,,,0.9564896859232388,,Equality,Digital Skills,
AT,All Deciles,2011,Secondary Indicator,,,0.5925738916721864,,Health and Animal Welfare,Health condition and impact,
AT,All Deciles,2011,Secondary Indicator,,,0.3716082935838118,,Health and Animal Welfare,Health cost and medical care,
AT,All Deciles,2011,Secondary Indicator,,,0.6531465770886796,,Health and Animal Welfare,Accidents and addictive behaviour,
AT,All Deciles,2011,Secondary Indicator,,,1.0,,"Intergenerational Fairness, Youth, Culture and Sport",Education,
AT,All Deciles,2011,Secondary Indicator,,,0.0814616458430279,,"Intergenerational Fairness, Youth, Culture and Sport",Education expense,
AT,All Deciles,2011,Secondary Indicator,,,0.3722780054797515,,"Intergenerational Fairness, Youth, Culture and Sport",Leisure and culture,
AT,All Deciles,2011,Secondary Indicator,,,0.6860361815350471,,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,
AT,All Deciles,2011,Secondary Indicator,,,0.7490491610886189,,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,
AT,All Deciles,2011,Secondary Indicator,,,0.2920781708168885,,Sustainable Transport and Tourism,Transport,
AT,All Deciles,2011,Secondary Indicator,,,0.8726574607365748,,Sustainable Transport and Tourism,Tourism,
AT,All Deciles,2012,EWBI,0.5593563426355912,,,,,,
AT,All Deciles,2012,EU Priority,,0.4653612841190774,,,Agriculture and Food,,
AT,All Deciles,2012,EU Priority,,0.5410561868835942,,,Energy and Housing,,
AT,All Deciles,2012,EU Priority,,0.8318701860190241,,,Equality,,
AT,All Deciles,2012,EU Priority,,0.5391095874482259,,,Health and Animal Welfare,,
AT,All Deciles,2012,EU Priority,,0.4845798837742598,,,"Intergenerational Fairness, Youth, Culture and Sport",,
AT,All Deciles,2012,EU Priority,,0.7175426713118329,,,"Social Rights and Skills, Quality Jobs and Preparedness",,
AT,All Deciles,2012,EU Priority,,0.5823678157767317,,,Sustainable Transport and Tourism,,
AT,All Deciles,2012,Secondary Indicator,,,0.5716839239141318,,Agriculture and Food,Nutrition need,
AT,All Deciles,2012,Secondary Indicator,,,0.359038644324023,,Agriculture and Food,Nutrition expense,
AT,All Deciles,2012,Secondary Indicator,,,0.8317171846113065,,Energy and Housing,Housing quality,
AT,All Deciles,2012,Secondary Indicator,,,0.4318723017489621,,Energy and Housing,Energy,
AT,All Deciles,2012,Secondary Indicator,,,0.359579074290514,,Energy and Housing,Housing expense,
AT,All Deciles,2012,Secondary Indicator,,,0.8242540025268597,,Equality,Life satisfaction,
AT,All Deciles,2012,Secondary Indicator,,,0.6938148107580038,,Equality,Security,
AT,All Deciles,2012,Secondary Indicator,,,0.8529222448679942,,Equality,Community,
AT,All Deciles,2012,Secondary Indicator,,,0.9564896859232388,,Equality,Digital Skills,
AT,All Deciles,2012,Secondary Indicator,,,0.5925738916721864,,Health and Animal Welfare,Health condition and impact,
AT,All Deciles,2012,Secondary Indicator,,,0.3716082935838118,,Health and Animal Welfare,Health cost and medical care,
AT,All Deciles,2012,Secondary Indicator,,,0.6531465770886796,,Health and Animal Welfare,Accidents and addictive behaviour,
AT,All Deciles,2012,Secondary Indicator,,,1.0,,"Intergenerational Fairness, Youth, Culture and Sport",Education,
AT,All Deciles,2012,Secondary Indicator,,,0.0814616458430279,,"Intergenerational Fairness, Youth, Culture and Sport",Education expense,
AT,All Deciles,2012,Secondary Indicator,,,0.3722780054797515,,"Intergenerational Fairness, Youth, Culture and Sport",Leisure and culture,
AT,All Deciles,2012,Secondary Indicator,,,0.6860361815350471,,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,
AT,All Deciles,2012,Secondary Indicator,,,0.7490491610886189,,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,
AT,All Deciles,2012,Secondary Indicator,,,0.2920781708168885,,Sustainable Transport and Tourism,Transport,
AT,All Deciles,2012,Secondary Indicator,,,0.8726574607365748,,Sustainable Transport and Tourism,Tourism,
AT,All Deciles,2013,EWBI,0.5623452525966124,,,,,,
AT,All Deciles,2013,EU Priority,,0.4653612841190774,,,Agriculture and Food,,
AT,All Deciles,2013,EU Priority,,0.5410561868835942,,,Energy and Housing,,
AT,All Deciles,2013,EU Priority,,0.8318701860190241,,,Equality,,
AT,All Deciles,2013,EU Priority,,0.5391095874482259,,,Health and Animal Welfare,,
AT,All Deciles,2013,EU Priority,,0.4845798837742598,,,"Intergenerational Fairness, Youth, Culture and Sport",,
AT,All Deciles,2013,EU Priority,,0.7175426713118329,,,"Social Rights and Skills, Quality Jobs and Preparedness",,
AT,All Deciles,2013,EU Priority,,0.5823678157767317,,,Sustainable Transport and Tourism,,
AT,All Deciles,2013,Secondary Indicator,,,0.5716839239141318,,Agriculture and Food,Nutrition need,
AT,All Deciles,2013,Secondary Indicator,,,0.359038644324023,,Agriculture and Food,Nutrition expense,
AT,All Deciles,2013,Secondary Indicator,,,0.8317171846113065,,Energy and Housing,Housing quality,
AT,All Deciles,2013,Secondary Indicator,,,0.4318723017489621,,Energy and Housing,Energy,
AT,All Deciles,2013,Secondary Indicator,,,0.359579074290514,,Energy and Housing,Housing expense,
AT,All Deciles,2013,Secondary Indicator,,,0.8242540025268597,,Equality,Life satisfaction,
AT,All Deciles,2013,Secondary Indicator,,,0.6938148107580038,,Equality,Security,
AT,All Deciles,2013,Secondary Indicator,,,0.8529222448679942,,Equality,Community,
AT,All Deciles,2013,Secondary Indicator,,,0.9564896859232388,,Equality,Digital Skills,
AT,All Deciles,2013,Secondary Indicator,,,0.5925738916721864,,Health and Animal Welfare,Health condition and impact,
AT,All Deciles,2013,Secondary Indicator,,,0.3716082935838118,,Health and Animal Welfare,Health cost and medical care,
AT,All Deciles,2013,Secondary Indicator,,,0.6531465770886796,,Health and Animal Welfare,Accidents and addictive behaviour,
AT,All Deciles,2013,Secondary Indicator,,,1.0,,"Intergenerational Fairness, Youth, Culture and Sport",Education,
AT,All Deciles,2013,Secondary Indicator,,,0.0814616458430279,,"Intergenerational Fairness, Youth, Culture and Sport",Education expense,
AT,All Deciles,2013,Secondary Indicator,,,0.3722780054797515,,"Intergenerational Fairness, Youth, Culture and Sport",Leisure and culture,
AT,All Deciles,2013,Secondary Indicator,,,0.6860361815350471,,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,
AT,All Deciles,2013,Secondary Indicator,,,0.7490491610886189,,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,
AT,All Deciles,2013,Secondary Indicator,,,0.2920781708168885,,Sustainable Transport and Tourism,Transport,
AT,All Deciles,2013,Secondary Indicator,,,0.8726574607365748,,Sustainable Transport and Tourism,Tourism,
AT,All Deciles,2014,EWBI,0.5570122045866369,,,,,,
AT,All Deciles,2014,EU Priority,,0.4653612841190774,,,Agriculture and Food,,
AT,All Deciles,2014,EU Priority,,0.5410561868835942,,,Energy and Housing,,
AT,All Deciles,2014,EU Priority,,0.8318701860190241,,,Equality,,
AT,All Deciles,2014,EU Priority,,0.5391095874482259,,,Health and Animal Welfare,,
AT,All Deciles,2014,EU Priority,,0.4845798837742598,,,"Intergenerational Fairness, Youth, Culture and Sport",,
AT,All Deciles,2014,EU Priority,,0.7175426713118329,,,"Social Rights and Skills, Quality Jobs and Preparedness",,
AT,All Deciles,2014,EU Priority,,0.5823678157767317,,,Sustainable Transport and Tourism,,
