Sector,Theme,Keywords, OpenAlex_Article_Count,to_suppress
Sufficiency ,Political Make-up & Governance,council,"  3 160 911,00 ",y
Logistic,Logistic,standardization,"  3 158 054,00 ",y
Sufficiency ,Well-being,public health,"  3 102 257,00 ",y
Sufficiency ,Driver of consumption,consumerism,"  2 931 543,00 ",y
Sufficiency ,Technology and Data in Urban Development,intelligence,"  2 647 679,00 ",y
Logistic,Logistic,mutualization,"  2 439 654,00 ",y
Digitalisation,Material Footprint and E-Waste,gold,"  2 433 199,00 ",y
Trade,Competitiveness,Repairability,"  2 376 223,00 ",y
Digitalisation,Artificial Intelligence/Machine Learning (AI/ML),AI,"  2 311 518,00 ",y
Mobility,Transport mode,car,"  2 233 238,00 ",y
Sufficiency ,Social and Economic Sustainability Goals,affordability,"  2 162 413,00 ",y
Urban settlements ,Construction of sustainable urban infrastructure,Quality of life,"  2 124 508,00 ",y
Urban settlements ,Construction of sustainable urban infrastructure,Compactness,"  2 109 359,00 ",y
Digitalisation,Artificial Intelligence/Machine Learning (AI/ML),Neural Networks,"  2 091 643,00 ",y
Housing,Buildings and their Attributes,flat,"  2 044 190,00 ",y
Sufficiency ,Lifestyle,household,"  1 948 333,00 ",y
Digitalisation,Democracy,Justice,"  1 887 058,00 ",y
Digitalisation,Artificial Intelligence/Machine Learning (AI/ML),Machine Learning,"  1 829 815,00 ",y
Logistic,Logistic,machine learning,"  1 829 815,00 ",y
Sufficiency ,Accessibility,Inequality,"  1 821 352,00 ",y
Sufficiency ,Environmental barriers/challenges,pollution,"  1 813 306,00 ",y
Trade,Industry,Pollution,"  1 813 306,00 ",y
Trade,Power Dynamics and Trade,Corporations,"  1 780 985,00 ",y
Sufficiency ,Accessibility,disabilities,"  1 773 198,00 ",y
Digitalisation,Democracy,Surveillance,"  1 712 004,00 ",y
Sufficiency ,Accessibility,discrimination,"  1 641 630,00 ",y
Sufficiency ,Climate,climate change,"  1 631 887,00 ",y
Digitalisation,Material Footprint and E-Waste,copper,"  1 604 552,00 ",y
Sufficiency ,Fiscal,incentives,"  1 566 370,00 ",y
Urban settlements ,Construction of sustainable urban infrastructure,Connectivity,"  1 542 685,00 ",y
Sufficiency ,Political Make-up & Governance,ward,"  1 509 425,00 ",y
Sufficiency ,Political Make-up & Governance,mayor,"  1 493 869,00 ",y
Digitalisation,Affordability,low-cost IT,"  1 455 004,00 ",y
Sufficiency ,Lifestyle,lifestyle,"  1 438 703,00 ",y
Digitalisation,Material Footprint and E-Waste,silver,"  1 318 021,00 ",y
Trade,Equitable Resource Distribution,poverty,"  1 296 692,00 ",y
Digitalisation,Artificial Intelligence/Machine Learning (AI/ML),Artificial Intelligence,"  1 279 661,00 ",y
Digitalisation,Affordability,cost-effective,"  1 255 625,00 ",y
Sufficiency ,Social and Economic Sustainability Goals,equality,"  1 224 484,00 ",y
Housing,Using Buildings,reversibility,"  1 212 832,00 ",y
Sufficiency ,Social and Economic Sustainability Goals,equity,"  1 202 756,00 ",y
Urban settlements ,Urban form and morphology,Sustainable development,"  1 172 116,00 ",y
Sufficiency ,Drivers of production,recycling,"  1 148 390,00 ",y
Trade,Industry,Recycling,"  1 148 390,00 ",y
Sufficiency ,General Principles,accountability,"  1 145 340,00 ",y
Sufficiency ,International initiatives impact on local sufficiency,United Nations,"  1 035 870,00 ",y
Digitalisation,Artificial Intelligence/Machine Learning (AI/ML),Deep Learning,"  1 030 714,00 ",y
Mobility,Transport mode,walking,"  994 369,00 ",y
Digitalisation,Infrastructure,Bandwidth,"  990 514,00 ",y
Mobility,Mobility leasure,tourism,"  977 493,00 ",y
Sufficiency ,Desired features/ characteristics,biodiversity,"  976 928,00 ",y
Sufficiency ,Political Make-up & Governance,democracy,"  972 621,00 ",y
Housing,Using Buildings,adaptability,"  952 853,00 ",y
Sufficiency ,General,trade-offs,"  950 789,00 ",y
Sufficiency ,Economic impact (general),economic growth,"  945 284,00 ",y
Urban settlements ,Construction of sustainable urban infrastructure,Economic growth,"  945 284,00 ",y
Sufficiency ,International initiatives impact on local sufficiency,Best Practice,"  916 137,00 ",y
Food,Practices,best practice,"  916 137,00 ",y
Food,Practices,best practices,"  916 137,00 ",y
Mobility,Transport mode,bus,"  895 079,00 ",y
Sufficiency ,"Public Participation, Inclusive Policies and Civil Engagement",social network,"  864 717,00 ",y
Sufficiency ,Technology and Data in Urban Development,land use,"  861 384,00 ",y
Urban settlements ,Construction of sustainable urban infrastructure,Land use,"  861 384,00 ",
Digitalisation,Material Footprint and E-Waste,raw material,"  846 304,00 ",y
Trade,Technology & Innovation,open-source,"  805 988,00 ",y
Sufficiency ,Accessibility,human rights,"  780 652,00 ",
Mobility,Urban environment,low-density,"  763 873,00 ",y
Trade,AI? Digital?,Energy Consumption,"  756 297,00 ",y
Digitalisation,Energy consumption limits,energy consumption,"  756 297,00 ",
Sufficiency ,Accessibility,Ageing,"  738 352,00 ",y
Mobility,Mobility demand,spatial distribution,"  707 976,00 ",
Mobility,Transport mode,transit,"  688 409,00 ",
Digitalisation,Material Footprint and E-Waste,lithium,"  685 704,00 ",y
Trade,Crisis Management,renewable energy,"  666 873,00 ",
Sufficiency ,Resource conservation,material use,"  658 824,00 ",
Sufficiency ,Technology and Data in Urban Development,big data,"  644 845,00 ",
Sufficiency ,Food/Food system,supply chain,"  641 288,00 ",
Trade,Power Dynamics and Trade,Supply Chain,"  641 288,00 ",y
Trade,Global Competitiveness,supply chains,"  641 288,00 ",y
Sufficiency ,Environmental impact (general),environmental impact,"  638 665,00 ",
Trade,Impacts,Environmental impacts,"  638 665,00 ",y
Sufficiency ,International initiatives impact on local sufficiency,OECD,"  606 801,00 ",y
Sufficiency ,Lifestyle,social interaction,"  601 513,00 ",
Sufficiency ,Social,social interaction,"  601 513,00 ",y
Mobility,Urban environment,5D,"  589 418,00 ",y
Trade,Technology & Innovation,decentralized,"  574 470,00 ",
Sufficiency ,Lifestyle,everyday life,"  519 235,00 ",y
Trade,Power Dynamics and Trade,Political Economy,"  511 562,00 ",
Digitalisation,Internet/Internet of Things,IoT,"  505 557,00 ",y
Trade,Environmental and Resource Use,Energy Efficiency,"  498 120,00 ",y
Digitalisation,Energy consumption limits,energy efficiency,"  498 120,00 ",y
Sufficiency ,"Public Participation, Inclusive Policies and Civil Engagement",NGO,"  496 225,00 ",y
Trade,Consumer Goods,longevity,"  494 242,00 ",y
Digitalisation,Infrastructure,Broadband,"  474 161,00 ",y
Sufficiency ,Lifestyle,livelihood,"  464 456,00 ",
Sufficiency ,International initiatives impact on local sufficiency,FAO,"  464 182,00 ",y
Digitalisation,Artificial Intelligence/Machine Learning (AI/ML),Computer Vision,"  463 394,00 ",y
Mobility,Transport mode,automobile,"  462 579,00 ",y
Trade,Power Dynamics and Trade,Subsidies,"  458 558,00 ",y
Trade,Incentives & Behavioral Shifts,subsidies,"  458 558,00 ",y
Housing,Buildings and their Attributes,accommodation,"  451 371,00 ",y
Sufficiency ,International initiatives impact on local sufficiency,Transnational,"  451 124,00 ",y
Digitalisation,Material Footprint and E-Waste,cobalt,"  451 040,00 ",y
Sufficiency ,Driver of consumption,Internet to things,"  437 684,00 ",y
Digitalisation,Internet/Internet of Things,Internet of Things,"  437 684,00 ",
Logistic,Logistic,relocation,"  435 891,00 ",
Trade,Power Dynamics and Trade,Multinationals,"  430 911,00 ",
Sufficiency ,General Principles,global health,"  423 568,00 ",
Trade,Environmental and Resource Use,Water Use,"  407 584,00 ",
Sufficiency ,Environmental impact (general),food security,"  405 271,00 ",
Sufficiency ,International initiatives impact on local sufficiency,UNESCO,"  398 425,00 ",y
Sufficiency ,Social and Economic Sustainability Goals,solidarity,"  395 786,00 ",
Digitalisation,Infrastructure,5G,"  389 028,00 ",y
Digitalisation,Energy consumption limits,power consumption,"  387 006,00 ",y
Sufficiency ,Economic impact (general),economic impact,"  385 801,00 ",
Trade,Impacts,Economic impacts,"  385 801,00 ",y
Trade,Equitable Resource Distribution,resource allocation,"  375 540,00 ",y
Sufficiency ,"Public Participation, Inclusive Policies and Civil Engagement",civil society,"  369 635,00 ",
Digitalisation,Democracy,Civil society,"  369 635,00 ",y
Trade,Housing,insulation,"  369 055,00 ",
Food,Nutrition principles,malnutrition,"  354 643,00 ",
Housing,Buildings and their Attributes,education institution,"  344 657,00 ",
Housing,Buildings and their Attributes,real estate,"  335 546,00 ",
Trade,Policy & Governance,Economic Policy,"  330 412,00 ",
Sufficiency ,Political Make-up & Governance,neoliberal,"  330 088,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Social Justice,"  327 290,00 ",y
Sufficiency ,Justice,social justice,"  327 290,00 ",
Sufficiency ,"Public Participation, Inclusive Policies and Civil Engagement",social justice,"  327 290,00 ",y
Digitalisation,Democracy,Social justice,"  327 290,00 ",y
Trade,Industrial Policy,technological development,"  321 031,00 ",
Sufficiency ,International initiatives impact on local sufficiency,International Law,"  317 801,00 ",
Trade,Technology & Innovation,emerging technologies,"  307 993,00 ",
Trade,Incentives & Behavioral Shifts,financial markets,"  302 128,00 ",
Sufficiency ,Lifestyle,social capital,"  300 376,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Integrated Approach,"  299 421,00 ",y
Trade,Consumer Goods,Leasing,"  292 235,00 ",
Digitalisation,Infrastructure,energy systems,"  291 092,00 ",
Sufficiency ,Environmental advantages/benefits,waste management,"  290 062,00 ",
Sufficiency ,Mitigation,greenhouse gas emissions,"  288 819,00 ",
Trade,Environmental and Resource Use,Greenhouse Gas Emissions,"  288 819,00 ",y
Sufficiency ,Sustainability,technological innovations,"  286 057,00 ",
Digitalisation,Artificial Intelligence/Machine Learning (AI/ML),Natural Language Processing,"  284 740,00 ",
Housing,Building Sector Policies and Measures,downsizing,"  278 301,00 ",
Sufficiency ,Accessibility,Sustainable Development Goals,"  277 252,00 ",
Sufficiency ,General challenges/barriers,knowledge gaps,"  274 822,00 ",y
Sufficiency ,Lifestyle,social environment,"  274 645,00 ",
Sufficiency ,Environmental impact (general),environmental sustainability,"  274 001,00 ",y
Digitalisation,Affordability,Monopolies,"  273 211,00 ",
Digitalisation,Infrastructure,4G,"  272 195,00 ",y
Urban settlements ,Construction of sustainable urban infrastructure,Crowdedness,"  269 723,00 ",
Mobility,Lifestyle and behaviour,commuting,"  269 393,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Foreign Policy,"  267 947,00 ",
Digitalisation,Artificial Intelligence/Machine Learning (AI/ML),Reinforcement Learning,"  265 804,00 ",y
Mobility,Mobility demand,MAAS,"  265 132,00 ",
Sufficiency ,Political Make-up & Governance,authoritarian,"  264 192,00 ",
Sufficiency ,Social,social welfare,"  259 355,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Multilateral,"  256 585,00 ",y
Trade,Power Dynamics and Trade,Multilateralism,"  256 585,00 ",
Logistic,Logistic,interoperability,"  256 162,00 ",y
Trade,Power Dynamics and Trade,Tariffs,"  256 074,00 ",y
Trade,Global Competitiveness,tariffs,"  256 074,00 ",
Trade,Policy & Governance,Legal Frameworks,"  255 416,00 ",y
Sufficiency ,Political Make-up & Governance,lobby,"  254 765,00 ",y
Trade,Power Dynamics and Trade,Lobbying,"  254 765,00 ",
Mobility,Transport mode,bicycle,"  253 839,00 ",
Sufficiency ,Sufficiency,sufficiency,"  252 299,00 ",
Sufficiency ,Technology and Data in Urban Development,performance indicator,"  251 993,00 ",y
Digitalisation,Democracy,rule of law,"  245 835,00 ",y
Sufficiency ,International initiatives impact on local sufficiency,IMF,"  244 838,00 ",y
Sufficiency ,Adaptation,water management,"  244 179,00 ",
Urban settlements ,Urban form and morphology,Low-carbon,"  243 600,00 ",
Sufficiency ,Social impact (general),cultural values,"  242 075,00 ",
Trade,Consumer / Cultural Issues (demand-side),Cultural Values,"  242 075,00 ",y
Digitalisation,Blockchain,cryptography,"  238 130,00 ",y
Sufficiency ,Social,social norm,"  236 709,00 ",
Trade,Equitable Resource Distribution,social classes,"  236 014,00 ",
Digitalisation,Material Footprint and E-Waste,uranium,"  235 510,00 ",y
Sufficiency ,Sufficiency,moderation,"  235 015,00 ",y
Mobility,"Infrastructure, planning, policy",transport system,"  233 928,00 ",
Mobility,Transport system,transport system,"  233 928,00 ",y
Urban settlements ,Urban form and morphology,Urban planning,"  233 737,00 ",
Mobility,"Infrastructure, planning, policy",urban planning,"  233 737,00 ",y
Logistic,Transport infrastructure,urban plan,"  233 737,00 ",y
Sufficiency ,General,impact assessment,"  233 020,00 ",y
Sufficiency ,Environmental advantages/benefits,ecosystem services,"  228 890,00 ",
Trade,Environmental and Resource Use,Ecosystem Services,"  228 890,00 ",y
Sufficiency ,Resource conservation,energy saving,"  228 269,00 ",
Digitalisation,Artificial Intelligence/Machine Learning (AI/ML),Supervised Learning,"  226 565,00 ",
Sufficiency ,Drivers of production,lifecycle,"  226 174,00 ",y
Digitalisation,Blockchain,Blockchain,"  223 711,00 ",
Sufficiency ,Social and Economic Sustainability Goals,lower cost,"  221 426,00 ",y
Sufficiency ,Accessibility,colonialism,"  219 549,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Capacity Building,"  216 602,00 ",y
Sufficiency ,Political Make-up & Governance,communism,"  213 659,00 ",
Urban settlements ,Urban form and morphology,Urban development,"  212 764,00 ",
Housing,Buildings and their Attributes,built environment,"  210 995,00 ",
Urban settlements ,Urban waste management infrastructure,building materials,"  206 328,00 ",
Food,Food,breastfeeding,"  206 151,00 ",
Sufficiency ,Accessibility,SDG,"  202 316,00 ",
Digitalisation,Data storage and data centers,data storage,"  202 244,00 ",
Trade,Power Dynamics and Trade,Corporate Social Responsibility,"  201 287,00 ",
Sufficiency ,Mitigation,deforestation,"  201 100,00 ",
Trade,Crisis Management,monetary policies,"  197 991,00 ",
Trade,Global Competitiveness,globalized market,"  195 174,00 ",
Sufficiency ,economic,production costs,"  194 514,00 ",
Trade,Policy & Governance,Regulatory Frameworks,"  193 895,00 ",
Digitalisation,Energy consumption limits,data center,"  192 321,00 ",
Digitalisation,Material Footprint and E-Waste,data center,"  192 321,00 ",y
Food,Food,food processing,"  192 164,00 ",
Sufficiency ,Political Make-up & Governance,socialism,"  188 579,00 ",
Sufficiency ,Financing Mechanisms and Economic Systems,PPP,"  185 815,00 ",
Sufficiency ,"Public Participation, Inclusive Policies and Civil Engagement",PPP,"  185 815,00 ",y
Sufficiency ,International initiatives impact on local sufficiency,Monitoring and Evaluation,"  184 515,00 ",
Sufficiency ,Environmental advantages/benefits,sustainable agriculture,"  182 028,00 ",y
Trade,Environmental and Resource Use,Sustainable Agriculture,"  182 028,00 ",
Sufficiency ,Social,social impact,"  181 932,00 ",
Sufficiency ,Social impact (general),social impact,"  181 932,00 ",y
Trade,Impacts,Social impacts,"  181 932,00 ",y
Trade,Consumer / Cultural Issues (demand-side),Social Impact,"  181 932,00 ",y
Housing,Buildings and their Attributes,apartment,"  181 736,00 ",
Trade,Power Dynamics and Trade,Outsourcing,"  177 361,00 ",
Sufficiency ,Resource conservation,resource use,"  175 888,00 ",
Trade,Environmental and Resource Use,Resource Use,"  175 888,00 ",y
Sufficiency ,Resource conservation,energy conservation,"  174 956,00 ",
Mobility,Lifestyle and behaviour,travel time,"  174 617,00 ",
Digitalisation,Affordability,Digital Transformation,"  174 036,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Smart City,"  174 009,00 ",
Urban settlements ,Urban form and morphology,Smart cities,"  174 009,00 ",y
Sufficiency ,International initiatives impact on local sufficiency,WTO,"  172 473,00 ",y
Sufficiency ,Social and Economic Sustainability Goals,gender equality,"  172 248,00 ",
Sufficiency ,Policies,environmental policy,"  169 575,00 ",
Sufficiency ,Mitigation,land use change,"  168 745,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Community development,"  168 745,00 ",
Trade,Environmental and Resource Use,Land Use Changes,"  168 745,00 ",y
Food,Practices,effective interventions,"  166 932,00 ",y
Sufficiency ,Well-being,standard of living,"  165 492,00 ",
Digitalisation,Artificial Intelligence/Machine Learning (AI/ML),Transfer Learning,"  165 009,00 ",y
Trade,Equitable Resource Distribution,developed economies,"  164 011,00 ",
Trade,Equitable Resource Distribution,developing economies,"  164 011,00 ",y
Sufficiency ,Food/Food system,food supply,"  163 837,00 ",
Sufficiency ,International initiatives impact on local sufficiency,International Cooperation,"  163 817,00 ",
Sufficiency ,International initiatives impact on local sufficiency,ILO,"  163 398,00 ",y
Sufficiency ,Well-being,living standard,"  163 106,00 ",
Mobility,Private vehicle,fuel consumption,"  162 895,00 ",
Sufficiency ,Well-being,life satisfaction,"  162 719,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Performance assessment,"  160 764,00 ",y
Sufficiency ,Social impact (general),consumer behavior,"  159 461,00 ",
Trade,Consumer / Cultural Issues (demand-side),Consumer Behavior,"  159 461,00 ",y
Sufficiency ,Sustainability,agriculture practices,"  158 972,00 ",
Sufficiency ,Planetary boundaries,earth system,"  156 671,00 ",
Sufficiency ,"Public Participation, Inclusive Policies and Civil Engagement",non governmental organization,"  156 587,00 ",
Sufficiency ,Social,social care,"  156 069,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Spatial analysis,"  156 014,00 ",y
Trade,Power Dynamics and Trade,Free Trade,"  155 932,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Conflict Resolution,"  154 619,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Public transport,"  154 421,00 ",y
Mobility,Transport mode,public transport,"  154 421,00 ",
Sufficiency ,Lifestyle,social practice,"  153 795,00 ",
Sufficiency ,Technology and Data in Urban Development,real-time data,"  153 170,00 ",y
Sufficiency ,International initiatives impact on local sufficiency,Pilot Project,"  151 716,00 ",y
Sufficiency ,Justice,equal opportunity,"  151 505,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Policy Implementation,"  149 971,00 ",
Trade,Environmental and Resource Use,Environmental Degradation,"  149 116,00 ",
Digitalisation,Democracy,Disconnection,"  145 452,00 ",
Mobility,Transport mode,biking,"  145 040,00 ",y
Mobility,Transport mode,bike,"  145 040,00 ",
Sufficiency ,Food/Food system,food systems,"  141 685,00 ",y
Food,Food/ Food system,food system,"  141 685,00 ",
Urban settlements ,Urban densification and urban sprawl,Design strategies,"  141 422,00 ",y
Digitalisation,Artificial Intelligence/Machine Learning (AI/ML),Model Training,"  139 667,00 ",y
Sufficiency ,Technology and Data in Urban Development,spatial data,"  139 534,00 ",y
Mobility,Mobility access,lack of access,"  139 491,00 ",
Trade,Consumer / Cultural Issues (demand-side),Social Movements,"  139 263,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Feedback Mechanism,"  139 120,00 ",y
Mobility,Traffic,road traffic,"  138 692,00 ",
Sufficiency ,Social,social benefit,"  138 285,00 ",
Sufficiency ,International initiatives impact on local sufficiency,World Health Organisation,"  135 684,00 ",
Digitalisation,Digital Literacy,Cybersecurity,"  134 612,00 ",
Sufficiency ,Mitigation,bioenergy,"  134 303,00 ",
Trade,Consumer / Cultural Issues (demand-side),Cultural Norms,"  130 056,00 ",
Sufficiency ,Drivers of production,circular economy,"  128 408,00 ",y
Trade,Competitiveness,Circular economy,"  128 408,00 ",y
Trade,Environmental and Resource Use,Circular Economy,"  128 408,00 ",
Digitalisation,Infrastructure,Industry 4.0,"  127 057,00 ",
Sufficiency ,International initiatives impact on local sufficiency,International Monetary Fund,"  122 580,00 ",
Trade,Power Dynamics and Trade,Free Market,"  122 310,00 ",
Trade,Global Competitiveness,manufacturing sectors,"  122 250,00 ",
Digitalisation,Affordability,income inequality,"  121 023,00 ",
Trade,Crisis Management,Financial Stability,"  120 356,00 ",y
Trade,Crisis Management,financial stability,"  120 356,00 ",
Digitalisation,Artificial Intelligence/Machine Learning (AI/ML),Large Language Models,"  120 118,00 ",
Sufficiency ,Fiscal,fiscal policy,"  120 110,00 ",
Sufficiency ,Fiscal,fiscal policies,"  120 110,00 ",y
Food,Nutrient principles,nutrient availability,"  120 014,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Satellite imagery,"  118 939,00 ",
Sufficiency ,Social impact (general),access to food,"  117 997,00 ",
Sufficiency ,Technology and Data in Urban Development,data security,"  117 374,00 ",
Trade,Transportation,Public Transportation,"  115 658,00 ",
Sufficiency ,Financing Mechanisms and Economic Systems,public-private partnership,"  115 583,00 ",y
Sufficiency ,Financing Mechanisms and Economic Systems,public private partnership,"  115 583,00 ",y
Sufficiency ,International initiatives impact on local sufficiency,Public-Private Partnership,"  115 583,00 ",y
Trade,Policy & Governance,Public-Private Partnerships,"  115 583,00 ",
Sufficiency ,Mitigation,carbon sequestration,"  114 925,00 ",y
Sufficiency ,Social,social exclusion,"  114 534,00 ",
Sufficiency ,Practice,daily practice,"  114 049,00 ",
Trade,Environmental and Resource Use,Carbon Footprint,"  113 268,00 ",y
Digitalisation,Energy consumption limits,carbon footprint,"  113 268,00 ",
Sufficiency ,International initiatives impact on local sufficiency,UNDP,"  111 794,00 ",y
Housing,Planning Buildings,densification,"  109 194,00 ",
Trade,Consumer / Cultural Issues (demand-side),Consumer Demand,"  108 977,00 ",
Sufficiency ,economic,local economies,"  108 696,00 ",
Trade,Policy & Governance,Governance Structures,"  108 633,00 ",y
Trade,Equitable Resource Distribution,governance structures,"  108 633,00 ",
Food,Practices,research evidence,"  107 706,00 ",
Mobility,Transport mode,mass transport,"  107 283,00 ",
Digitalisation,Artificial Intelligence/Machine Learning (AI/ML),Unsupervised Learning,"  106 976,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Trade Agreement,"  106 491,00 ",y
Trade,Power Dynamics and Trade,Trade Agreements,"  106 491,00 ",y
Trade,Global Competitiveness,trade agreements,"  106 491,00 ",
Food,Food/ Food system,food availability,"  105 904,00 ",
Urban settlements ,Urban form and morphology,Network design,"  105 687,00 ",
Sufficiency ,Technology and Data in Urban Development,data privacy,"  105 623,00 ",
Trade,Environmental and Resource Use,Sustainability in Production,"  104 981,00 ",
Sufficiency ,"Public Participation, Inclusive Policies and Civil Engagement",open data,"  104 879,00 ",
Urban settlements ,Biodiversity conservation & habitat protection,bioremediation,"  104 700,00 ",
Urban settlements ,Ecosystem-based adaptations/NBS,NBS,"  104 327,00 ",y
Sufficiency ,Gender,Gender Inequalities,"  103 699,00 ",
Sufficiency ,Social,social inclusion,"  103 436,00 ",
Sufficiency ,Political Make-up & Governance,right-wing,"  102 600,00 ",
Sufficiency ,Political Make-up & Governance,right wing,"  102 600,00 ",y
Sufficiency ,Well-being,subjective well-being,"  102 587,00 ",
Sufficiency ,Resource conservation,water conservation,"  102 398,00 ",
Digitalisation,Energy consumption limits,digital economy,"  101 774,00 ",
Trade,Consumer / Cultural Issues (demand-side),Consumer Preferences,"  101 626,00 ",
Sufficiency ,Policies,environmental regulations,"  101 569,00 ",y
Trade,Policy & Governance,Environmental Regulations,"  101 569,00 ",
Trade,Industrial Policy,resource constraints,"  101 177,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Institutional Framework,"  100 983,00 ",y
Sufficiency ,Lifestyle,support network,"  100 889,00 ",y
Sufficiency ,Well-being,physical disability,"  100 496,00 ",
Sufficiency ,Social impact (general),dietary patterns,"  100 198,00 ",
Sufficiency ,economic,job creation,"  99 287,00 ",
Sufficiency ,Policies,trade policies,"  98 355,00 ",y
Sufficiency ,Trade,trade policy,"  98 355,00 ",y
Trade,Power Dynamics and Trade,Trade Policies,"  98 355,00 ",
Sufficiency ,economic,consumer prices,"  98 023,00 ",y
Urban settlements ,Construction of sustainable urban infrastructure,Sprawl,"  97 135,00 ",
Digitalisation,Infrastructure,mobile networks,"  96 208,00 ",
Sufficiency ,Technology and Data in Urban Development,government intervention,"  96 090,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Bottom-up approach,"  94 884,00 ",
Digitalisation,Digital Literacy,Digital literacy,"  94 754,00 ",
Sufficiency ,Policies,policy instruments,"  94 582,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Local Knowledge,"  94 250,00 ",
Trade,Consumer / Cultural Issues (demand-side),Cultural Perspectives,"  93 659,00 ",y
Sufficiency ,General advantages/benefits,healthier diets,"  92 338,00 ",
Sufficiency ,Technology and Data in Urban Development,policy intervention,"  92 179,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Human Right,"  91 655,00 ",y
Sufficiency ,Social and Economic Sustainability Goals,human right,"  91 655,00 ",
Sufficiency ,Policies,agricultural policy,"  91 286,00 ",y
Food,Agricultural policies,agricultural policies,"  91 286,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Crisis Management,"  90 345,00 ",
Trade,Policy & Governance,International Collaboration,"  88 539,00 ",
Sufficiency ,Accessibility,barriers to access,"  87 178,00 ",
Urban settlements ,Urban form and morphology,Sustainable cities,"  86 821,00 ",
Sufficiency ,Social and Economic Sustainability Goals,social transformation,"  86 355,00 ",
Trade,Environmental and Resource Use,Energy Transition,"  86 022,00 ",
Trade,Power Dynamics and Trade,Economic Integration,"  85 924,00 ",
Sufficiency ,Needs,social contact,"  85 847,00 ",y
Urban settlements ,Urban waste management infrastructure,municipal solid waste,"  85 053,00 ",
Sufficiency ,Political Make-up & Governance,federalism,"  85 046,00 ",y
Sufficiency ,Technology and Data in Urban Development,federalism,"  85 046,00 ",
Housing,Planning Buildings,spatial planning,"  84 721,00 ",
Logistic,Transport infrastructure,spatial plan,"  84 721,00 ",y
Urban settlements ,Construction of sustainable urban infrastructure,Asset management,"  84 019,00 ",
Mobility,Traffic,traffic congestion,"  83 904,00 ",
Food,Soil health and soil management,crop rotation,"  83 665,00 ",
