country,decile,year,EU_Priority,Secondary_indicator,primary_index,Score,Level
AT,1,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-SILC-1,0.7603167826157058,4 (Primary_indicator)
AT,1,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-SILC-2,0.4484721389574631,4 (Primary_indicator)
AT,1,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-1,0.7719745338609325,4 (Primary_indicator)
AT,1,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-2,0.7517188571175102,4 (Primary_indicator)
AT,1,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-3,0.892568765935391,4 (Primary_indicator)
AT,1,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.7339888729565104,4 (Primary_indicator)
AT,1,2023,Agriculture and Food,Nutrition need,All,0.8584048653459745,3 (Secondary_indicator)
AT,1,2023,Agriculture and Food,Nutrition expense,All,0.8686356135530193,3 (Secondary_indicator)
AT,1,2023,Energy and Housing,Housing quality,All,0.8426452182317484,3 (Secondary_indicator)
AT,1,2023,Energy and Housing,Energy,All,0.54122892279947,3 (Secondary_indicator)
AT,1,2023,Equality,Life satisfaction,All,0.8542498039087614,3 (Secondary_indicator)
AT,1,2023,Equality,Security,All,0.5644738278293974,3 (Secondary_indicator)
AT,1,2023,Equality,Community,All,0.7785361232080423,3 (Secondary_indicator)
AT,1,2023,Health and Animal Welfare,Health condition and impact,All,0.6189270987685837,3 (Secondary_indicator)
AT,1,2023,"Intergenerational Fairness, Youth, Culture and Sport",Education,All,0.9991340397049546,3 (Secondary_indicator)
AT,1,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,All,0.7250102156974004,3 (Secondary_indicator)
AT,1,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.7339888729565104,3 (Secondary_indicator)
AT,1,2023,Agriculture and Food,All,All,0.863520239449497,2 (EU_Priority)
AT,1,2023,Energy and Housing,All,All,0.6919370705156092,2 (EU_Priority)
AT,1,2023,Equality,All,All,0.7324199183154003,2 (EU_Priority)
AT,1,2023,Health and Animal Welfare,All,All,0.6189270987685837,2 (EU_Priority)
AT,1,2023,"Intergenerational Fairness, Youth, Culture and Sport",All,All,0.9991340397049546,2 (EU_Priority)
AT,1,2023,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.7294995443269554,2 (EU_Priority)
AT,1,2023,All,All,All,0.7725729851801667,1 (EWBI)
AT,2,2023,Agriculture and Food,Nutrition need,AN-EHIS-1,0.8584048653459745,4 (Primary_indicator)
AT,2,2023,Agriculture and Food,Nutrition expense,AE-EHIS-1,0.8686356135530193,4 (Primary_indicator)
AT,2,2023,Energy and Housing,Housing quality,HQ-SILC-1,0.8567520194873839,4 (Primary_indicator)
AT,2,2023,Energy and Housing,Energy,HE-SILC-1,0.8492942581858406,4 (Primary_indicator)
AT,2,2023,Energy and Housing,Energy,HE-SILC-2,0.8118052340719532,4 (Primary_indicator)
AT,2,2023,Energy and Housing,Energy,HE-HBS-1,0.2193409557790764,4 (Primary_indicator)
AT,2,2023,Energy and Housing,Energy,HE-HBS-2,0.2302179969921554,4 (Primary_indicator)
AT,2,2023,Equality,Life satisfaction,EL-SILC-1,0.8466848565288526,4 (Primary_indicator)
AT,2,2023,Equality,Life satisfaction,EL-EHIS-1,0.9061918059354116,4 (Primary_indicator)
AT,2,2023,Equality,Security,ES-SILC-1,0.5185192452258366,4 (Primary_indicator)
AT,2,2023,Equality,Security,ES-SILC-2,0.6660205251449064,4 (Primary_indicator)
AT,2,2023,Equality,Community,EC-SILC-1,0.7381996963190288,4 (Primary_indicator)
AT,2,2023,Equality,Community,EC-SILC-2,0.7913285280382977,4 (Primary_indicator)
AT,2,2023,Equality,Community,EC-EHIS-1,0.8686858461227381,4 (Primary_indicator)
AT,2,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.7151996393416367,4 (Primary_indicator)
AT,2,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.5713066362860056,4 (Primary_indicator)
AT,2,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.5332775889508006,4 (Primary_indicator)
AT,2,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-4,0.210771335407262,4 (Primary_indicator)
AT,2,2023,Health and Animal Welfare,Health condition and impact,AH-EHIS-1,0.9047755051233312,4 (Primary_indicator)
AT,2,2023,Health and Animal Welfare,Health condition and impact,AH-EHIS-2,0.7696424255117625,4 (Primary_indicator)
AT,2,2023,"Intergenerational Fairness, Youth, Culture and Sport",Education,IS-SILC-3,0.9991340397049546,4 (Primary_indicator)
AT,2,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-SILC-1,0.7468262598015489,4 (Primary_indicator)
AT,2,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-SILC-2,0.4253914220672743,4 (Primary_indicator)
AT,2,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-1,0.7285491260628233,4 (Primary_indicator)
AT,2,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-2,0.7907624540411127,4 (Primary_indicator)
AT,2,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-3,0.8829622448443031,4 (Primary_indicator)
AT,2,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.8529977488084401,4 (Primary_indicator)
AT,2,2023,Agriculture and Food,Nutrition need,All,0.8584048653459745,3 (Secondary_indicator)
AT,2,2023,Agriculture and Food,Nutrition expense,All,0.8686356135530193,3 (Secondary_indicator)
AT,2,2023,Energy and Housing,Housing quality,All,0.8567520194873839,3 (Secondary_indicator)
AT,2,2023,Energy and Housing,Energy,All,0.5276646112572564,3 (Secondary_indicator)
AT,2,2023,Equality,Life satisfaction,All,0.8764383312321321,3 (Secondary_indicator)
AT,2,2023,Equality,Security,All,0.5922698851853715,3 (Secondary_indicator)
AT,2,2023,Equality,Community,All,0.7994046901600216,3 (Secondary_indicator)
AT,2,2023,Health and Animal Welfare,Health condition and impact,All,0.6174955217701331,3 (Secondary_indicator)
AT,2,2023,"Intergenerational Fairness, Youth, Culture and Sport",Education,All,0.9991340397049546,3 (Secondary_indicator)
AT,2,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,All,0.7148983013634125,3 (Secondary_indicator)
AT,2,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.8529977488084401,3 (Secondary_indicator)
AT,2,2023,Agriculture and Food,All,All,0.863520239449497,2 (EU_Priority)
AT,2,2023,Energy and Housing,All,All,0.6922083153723202,2 (EU_Priority)
AT,2,2023,Equality,All,All,0.7560376355258418,2 (EU_Priority)
AT,2,2023,Health and Animal Welfare,All,All,0.6174955217701331,2 (EU_Priority)
AT,2,2023,"Intergenerational Fairness, Youth, Culture and Sport",All,All,0.9991340397049546,2 (EU_Priority)
AT,2,2023,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.7839480250859263,2 (EU_Priority)
AT,2,2023,All,All,All,0.7853906294847789,1 (EWBI)
AT,3,2023,Agriculture and Food,Nutrition need,AN-EHIS-1,0.8619649774360971,4 (Primary_indicator)
AT,3,2023,Agriculture and Food,Nutrition expense,AE-EHIS-1,0.8955604315045627,4 (Primary_indicator)
AT,3,2023,Energy and Housing,Housing quality,HQ-SILC-1,0.8824645541634049,4 (Primary_indicator)
AT,3,2023,Energy and Housing,Energy,HE-SILC-1,0.8844424499873398,4 (Primary_indicator)
AT,3,2023,Energy and Housing,Energy,HE-SILC-2,0.8755207043707871,4 (Primary_indicator)
AT,3,2023,Energy and Housing,Energy,HE-HBS-1,0.2193409557790764,4 (Primary_indicator)
AT,3,2023,Energy and Housing,Energy,HE-HBS-2,0.2241097174097577,4 (Primary_indicator)
AT,3,2023,Equality,Life satisfaction,EL-SILC-1,0.8827847356378995,4 (Primary_indicator)
AT,3,2023,Equality,Life satisfaction,EL-EHIS-1,0.9188547275955546,4 (Primary_indicator)
AT,3,2023,Equality,Security,ES-SILC-1,0.6508293660179724,4 (Primary_indicator)
AT,3,2023,Equality,Security,ES-SILC-2,0.7580930478611108,4 (Primary_indicator)
AT,3,2023,Equality,Community,EC-SILC-1,0.7672750829592133,4 (Primary_indicator)
AT,3,2023,Equality,Community,EC-SILC-2,0.8133057972510979,4 (Primary_indicator)
AT,3,2023,Equality,Community,EC-EHIS-1,0.8963408148629802,4 (Primary_indicator)
AT,3,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.7164918997362163,4 (Primary_indicator)
AT,3,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.5873762628041629,4 (Primary_indicator)
AT,3,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.5011748545132156,4 (Primary_indicator)
AT,3,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-4,0.1922707499490373,4 (Primary_indicator)
AT,3,2023,Health and Animal Welfare,Health condition and impact,AH-EHIS-1,0.9123167780786964,4 (Primary_indicator)
AT,3,2023,Health and Animal Welfare,Health condition and impact,AH-EHIS-2,0.845762713572819,4 (Primary_indicator)
AT,3,2023,"Intergenerational Fairness, Youth, Culture and Sport",Education,IS-SILC-3,0.9991340397049546,4 (Primary_indicator)
AT,3,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-SILC-1,0.86511421607389,4 (Primary_indicator)
AT,3,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-SILC-2,0.4482303408058169,4 (Primary_indicator)
AT,3,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-1,0.7571458627712823,4 (Primary_indicator)
AT,3,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-2,0.8393274700490737,4 (Primary_indicator)
AT,3,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-3,0.8822257483324872,4 (Primary_indicator)
AT,3,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.8795647736982692,4 (Primary_indicator)
AT,3,2023,Agriculture and Food,Nutrition need,All,0.8619649774360971,3 (Secondary_indicator)
AT,3,2023,Agriculture and Food,Nutrition expense,All,0.8955604315045627,3 (Secondary_indicator)
AT,3,2023,Energy and Housing,Housing quality,All,0.8824645541634049,3 (Secondary_indicator)
AT,3,2023,Energy and Housing,Energy,All,0.5508534568867403,3 (Secondary_indicator)
AT,3,2023,Equality,Life satisfaction,All,0.900819731616727,3 (Secondary_indicator)
AT,3,2023,Equality,Security,All,0.7044612069395415,3 (Secondary_indicator)
AT,3,2023,Equality,Community,All,0.8256405650244304,3 (Secondary_indicator)
AT,3,2023,Health and Animal Welfare,Health condition and impact,All,0.625898876442358,3 (Secondary_indicator)
AT,3,2023,"Intergenerational Fairness, Youth, Culture and Sport",Education,All,0.9991340397049546,3 (Secondary_indicator)
AT,3,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,All,0.7584087276065101,3 (Secondary_indicator)
AT,3,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.8795647736982692,3 (Secondary_indicator)
AT,3,2023,Agriculture and Food,All,All,0.8787627044703299,2 (EU_Priority)
AT,3,2023,Energy and Housing,All,All,0.7166590055250726,2 (EU_Priority)
AT,3,2023,Equality,All,All,0.810307167860233,2 (EU_Priority)
AT,3,2023,Health and Animal Welfare,All,All,0.625898876442358,2 (EU_Priority)
AT,3,2023,"Intergenerational Fairness, Youth, Culture and Sport",All,All,0.9991340397049546,2 (EU_Priority)
AT,3,2023,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.8189867506523897,2 (EU_Priority)
AT,3,2023,All,All,All,0.8082914241092231,1 (EWBI)
AT,4,2023,Agriculture and Food,Nutrition need,AN-EHIS-1,0.8619649774360971,4 (Primary_indicator)
AT,4,2023,Agriculture and Food,Nutrition expense,AE-EHIS-1,0.8955604315045627,4 (Primary_indicator)
AT,4,2023,Energy and Housing,Housing quality,HQ-SILC-1,0.9111808007319494,4 (Primary_indicator)
AT,4,2023,Energy and Housing,Energy,HE-SILC-1,0.9432634606819564,4 (Primary_indicator)
AT,4,2023,Energy and Housing,Energy,HE-SILC-2,0.9109640802913062,4 (Primary_indicator)
AT,4,2023,Energy and Housing,Energy,HE-HBS-1,0.2193409557790764,4 (Primary_indicator)
AT,4,2023,Energy and Housing,Energy,HE-HBS-2,0.2226175417402388,4 (Primary_indicator)
AT,4,2023,Equality,Life satisfaction,EL-SILC-1,0.9337976999712064,4 (Primary_indicator)
AT,4,2023,Equality,Life satisfaction,EL-EHIS-1,0.9188547275955546,4 (Primary_indicator)
AT,4,2023,Equality,Security,ES-SILC-1,0.7435953483343265,4 (Primary_indicator)
AT,4,2023,Equality,Security,ES-SILC-2,0.8242570591553736,4 (Primary_indicator)
AT,4,2023,Equality,Community,EC-SILC-1,0.8322502878742221,4 (Primary_indicator)
AT,4,2023,Equality,Community,EC-SILC-2,0.8652742308384913,4 (Primary_indicator)
AT,4,2023,Equality,Community,EC-EHIS-1,0.8963408148629802,4 (Primary_indicator)
AT,4,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.7845307863093309,4 (Primary_indicator)
AT,4,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.6139410463716715,4 (Primary_indicator)
AT,4,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.6025880223941258,4 (Primary_indicator)
AT,4,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-4,0.1860364740818225,4 (Primary_indicator)
AT,4,2023,Health and Animal Welfare,Health condition and impact,AH-EHIS-1,0.9123167780786964,4 (Primary_indicator)
AT,4,2023,Health and Animal Welfare,Health condition and impact,AH-EHIS-2,0.845762713572819,4 (Primary_indicator)
AT,4,2023,"Intergenerational Fairness, Youth, Culture and Sport",Education,IS-SILC-3,0.9991340397049546,4 (Primary_indicator)
AT,4,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-SILC-1,0.8771268348307786,4 (Primary_indicator)
AT,4,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-SILC-2,0.4934995567789672,4 (Primary_indicator)
AT,4,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-1,0.8176768955787022,4 (Primary_indicator)
AT,4,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-2,0.903806735324984,4 (Primary_indicator)
AT,4,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-3,0.8784153823705018,4 (Primary_indicator)
AT,4,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.9114260812561756,4 (Primary_indicator)
AT,4,2023,Agriculture and Food,Nutrition need,All,0.8619649774360971,3 (Secondary_indicator)
AT,4,2023,Agriculture and Food,Nutrition expense,All,0.8955604315045627,3 (Secondary_indicator)
AT,4,2023,Energy and Housing,Housing quality,All,0.9111808007319494,3 (Secondary_indicator)
AT,4,2023,Energy and Housing,Energy,All,0.5740465096231444,3 (Secondary_indicator)
AT,4,2023,Equality,Life satisfaction,All,0.9263262137833805,3 (Secondary_indicator)
AT,4,2023,Equality,Security,All,0.78392620374485,3 (Secondary_indicator)
AT,4,2023,Equality,Community,All,0.8646217778585644,3 (Secondary_indicator)
AT,4,2023,Health and Animal Welfare,Health condition and impact,All,0.6575293034680776,3 (Secondary_indicator)
AT,4,2023,"Intergenerational Fairness, Youth, Culture and Sport",Education,All,0.9991340397049546,3 (Secondary_indicator)
AT,4,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,All,0.7941050809767867,3 (Secondary_indicator)
AT,4,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.9114260812561756,3 (Secondary_indicator)
AT,4,2023,Agriculture and Food,All,All,0.8787627044703299,2 (EU_Priority)
AT,4,2023,Energy and Housing,All,All,0.7426136551775468,2 (EU_Priority)
AT,4,2023,Equality,All,All,0.858291398462265,2 (EU_Priority)
AT,4,2023,Health and Animal Welfare,All,All,0.6575293034680776,2 (EU_Priority)
AT,4,2023,"Intergenerational Fairness, Youth, Culture and Sport",All,All,0.9991340397049546,2 (EU_Priority)
AT,4,2023,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.8527655811164812,2 (EU_Priority)
AT,4,2023,All,All,All,0.8315161137332758,1 (EWBI)
AT,5,2023,Agriculture and Food,Nutrition need,AN-EHIS-1,0.8739042668131484,4 (Primary_indicator)
AT,5,2023,Agriculture and Food,Nutrition expense,AE-EHIS-1,0.9039061986353036,4 (Primary_indicator)
AT,5,2023,Energy and Housing,Housing quality,HQ-SILC-1,0.8956059058204436,4 (Primary_indicator)
AT,5,2023,Energy and Housing,Energy,HE-SILC-1,0.9467621200133136,4 (Primary_indicator)
AT,5,2023,Energy and Housing,Energy,HE-SILC-2,0.91658432584023,4 (Primary_indicator)
AT,5,2023,Energy and Housing,Energy,HE-HBS-1,0.2193409557790764,4 (Primary_indicator)
AT,5,2023,Energy and Housing,Energy,HE-HBS-2,0.2103948577442204,4 (Primary_indicator)
AT,5,2023,Equality,Life satisfaction,EL-SILC-1,0.95742496422394,4 (Primary_indicator)
AT,5,2023,Equality,Life satisfaction,EL-EHIS-1,0.9188696013299552,4 (Primary_indicator)
AT,5,2023,Equality,Security,ES-SILC-1,0.7711813897971529,4 (Primary_indicator)
AT,5,2023,Equality,Security,ES-SILC-2,0.8531050521324598,4 (Primary_indicator)
AT,5,2023,Equality,Community,EC-SILC-1,0.8639209619181896,4 (Primary_indicator)
AT,5,2023,Equality,Community,EC-SILC-2,0.7954417388900046,4 (Primary_indicator)
AT,5,2023,Equality,Community,EC-EHIS-1,0.9089054455959188,4 (Primary_indicator)
AT,5,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.8500233030040825,4 (Primary_indicator)
AT,5,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.6210041448336846,4 (Primary_indicator)
AT,5,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.5652142841737393,4 (Primary_indicator)
AT,5,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-4,0.1850039816583518,4 (Primary_indicator)
AT,5,2023,Health and Animal Welfare,Health condition and impact,AH-EHIS-1,0.9250284687915572,4 (Primary_indicator)
AT,5,2023,Health and Animal Welfare,Health condition and impact,AH-EHIS-2,0.789402182564397,4 (Primary_indicator)
AT,5,2023,"Intergenerational Fairness, Youth, Culture and Sport",Education,IS-SILC-3,0.9991340397049546,4 (Primary_indicator)
AT,5,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-SILC-1,0.9002102063670773,4 (Primary_indicator)
AT,5,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-SILC-2,0.5093920567542207,4 (Primary_indicator)
AT,5,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-1,0.8538703233475967,4 (Primary_indicator)
AT,5,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-2,0.9220624618826158,4 (Primary_indicator)
AT,5,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-3,0.8660362607517937,4 (Primary_indicator)
AT,5,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.91271357158634,4 (Primary_indicator)
AT,5,2023,Agriculture and Food,Nutrition need,All,0.8739042668131484,3 (Secondary_indicator)
AT,5,2023,Agriculture and Food,Nutrition expense,All,0.9039061986353036,3 (Secondary_indicator)
AT,5,2023,Energy and Housing,Housing quality,All,0.8956059058204436,3 (Secondary_indicator)
AT,5,2023,Energy and Housing,Energy,All,0.5732705648442101,3 (Secondary_indicator)
AT,5,2023,Equality,Life satisfaction,All,0.9381472827769476,3 (Secondary_indicator)
AT,5,2023,Equality,Security,All,0.8121432209648063,3 (Secondary_indicator)
AT,5,2023,Equality,Community,All,0.8560893821347043,3 (Secondary_indicator)
AT,5,2023,Health and Animal Welfare,Health condition and impact,All,0.6559460608376354,3 (Secondary_indicator)
AT,5,2023,"Intergenerational Fairness, Youth, Culture and Sport",Education,All,0.9991340397049546,3 (Secondary_indicator)
AT,5,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,All,0.8103142618206608,3 (Secondary_indicator)
AT,5,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.91271357158634,3 (Secondary_indicator)
AT,5,2023,Agriculture and Food,All,All,0.888905232724226,2 (EU_Priority)
AT,5,2023,Energy and Housing,All,All,0.7344382353323269,2 (EU_Priority)
AT,5,2023,Equality,All,All,0.8687932952921527,2 (EU_Priority)
AT,5,2023,Health and Animal Welfare,All,All,0.6559460608376354,2 (EU_Priority)
AT,5,2023,"Intergenerational Fairness, Youth, Culture and Sport",All,All,0.9991340397049546,2 (EU_Priority)
AT,5,2023,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.8615139167035004,2 (EU_Priority)
AT,5,2023,All,All,All,0.8347884634324659,1 (EWBI)
AT,6,2023,Agriculture and Food,Nutrition need,AN-EHIS-1,0.8739042668131484,4 (Primary_indicator)
AT,6,2023,Agriculture and Food,Nutrition expense,AE-EHIS-1,0.9039061986353036,4 (Primary_indicator)
AT,6,2023,Energy and Housing,Housing quality,HQ-SILC-1,0.9040672181483576,4 (Primary_indicator)
AT,6,2023,Energy and Housing,Energy,HE-SILC-1,0.9724535969067204,4 (Primary_indicator)
AT,6,2023,Energy and Housing,Energy,HE-SILC-2,0.9253122660704152,4 (Primary_indicator)
AT,6,2023,Energy and Housing,Energy,HE-HBS-1,0.2193409557790764,4 (Primary_indicator)
AT,6,2023,Energy and Housing,Energy,HE-HBS-2,0.205444638262773,4 (Primary_indicator)
AT,6,2023,Equality,Life satisfaction,EL-SILC-1,0.9609099323122668,4 (Primary_indicator)
AT,6,2023,Equality,Life satisfaction,EL-EHIS-1,0.9188696013299552,4 (Primary_indicator)
AT,6,2023,Equality,Security,ES-SILC-1,0.8386121761078243,4 (Primary_indicator)
AT,6,2023,Equality,Security,ES-SILC-2,0.8963721692012727,4 (Primary_indicator)
AT,6,2023,Equality,Community,EC-SILC-1,0.8595296939814413,4 (Primary_indicator)
AT,6,2023,Equality,Community,EC-SILC-2,0.825989503740743,4 (Primary_indicator)
AT,6,2023,Equality,Community,EC-EHIS-1,0.9089054455959188,4 (Primary_indicator)
AT,6,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.8450986986730419,4 (Primary_indicator)
AT,6,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.6437658663584938,4 (Primary_indicator)
AT,6,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.6357013169501371,4 (Primary_indicator)
AT,6,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-4,0.1452836593289945,4 (Primary_indicator)
AT,6,2023,Health and Animal Welfare,Health condition and impact,AH-EHIS-1,0.9250284687915572,4 (Primary_indicator)
AT,6,2023,Health and Animal Welfare,Health condition and impact,AH-EHIS-2,0.789402182564397,4 (Primary_indicator)
AT,6,2023,"Intergenerational Fairness, Youth, Culture and Sport",Education,IS-SILC-3,0.9991340397049546,4 (Primary_indicator)
AT,6,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-SILC-1,0.9074592537341746,4 (Primary_indicator)
AT,6,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-SILC-2,0.5450121889291453,4 (Primary_indicator)
AT,6,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-1,0.8579521683305603,4 (Primary_indicator)
AT,6,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-2,0.9338399084148372,4 (Primary_indicator)
AT,6,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,RT-LFS-3,0.8544243539504793,4 (Primary_indicator)
AT,6,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.9330614171650944,4 (Primary_indicator)
AT,6,2023,Agriculture and Food,Nutrition need,All,0.8739042668131484,3 (Secondary_indicator)
AT,6,2023,Agriculture and Food,Nutrition expense,All,0.9039061986353036,3 (Secondary_indicator)
AT,6,2023,Energy and Housing,Housing quality,All,0.9040672181483576,3 (Secondary_indicator)
AT,6,2023,Energy and Housing,Energy,All,0.5806378642547462,3 (Secondary_indicator)
AT,6,2023,Equality,Life satisfaction,All,0.939889766821111,3 (Secondary_indicator)
AT,6,2023,Equality,Security,All,0.8674921726545486,3 (Secondary_indicator)
AT,6,2023,Equality,Community,All,0.8648082144393676,3 (Secondary_indicator)
AT,6,2023,Health and Animal Welfare,Health condition and impact,All,0.6640466987777703,3 (Secondary_indicator)
AT,6,2023,"Intergenerational Fairness, Youth, Culture and Sport",Education,All,0.9991340397049546,3 (Secondary_indicator)
AT,6,2023,"Social Rights and Skills, Quality Jobs and Preparedness",Type of job and market participation,All,0.8197375746718393,3 (Secondary_indicator)
