country,decile,year,EU_Priority,Secondary_indicator,primary_index,Score,Level
BE,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.7160657602220285,4 (Primary_indicator)
BE,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.6319176353005245,4 (Primary_indicator)
BE,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.46470755599060004,4 (Primary_indicator)
BE,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.46074918206058757,4 (Primary_indicator)
BE,All,2004,Energy and Housing,Housing quality,All,0.9360972694151973,3 (Secondary_indicator)
BE,All,2004,Energy and Housing,Energy,All,0.800339293450992,3 (Secondary_indicator)
BE,All,2004,Equality,Security,All,0.6300551604015856,3 (Secondary_indicator)
BE,All,2004,Health and Animal Welfare,Health condition and impact,All,0.6053564320050128,3 (Secondary_indicator)
BE,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.46074918206058757,3 (Secondary_indicator)
BE,All,2004,Energy and Housing,All,All,0.8682182814330947,2 (EU_Priority)
BE,All,2004,Equality,All,All,0.6300551604015856,2 (EU_Priority)
BE,All,2004,Health and Animal Welfare,All,All,0.6053564320050128,2 (EU_Priority)
BE,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.46074918206058757,2 (EU_Priority)
BE,All,2004,All,All,All,0.6410947639750701,1 (EWBI)
DK,All,2004,Energy and Housing,Housing quality,HQ-SILC-1,0.870066358050659,4 (Primary_indicator)
DK,All,2004,Energy and Housing,Energy,HE-SILC-1,0.7332638404497132,4 (Primary_indicator)
DK,All,2004,Equality,Security,ES-SILC-1,0.7286193877192922,4 (Primary_indicator)
DK,All,2004,Equality,Security,ES-SILC-2,0.9205145704275225,4 (Primary_indicator)
DK,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.779140336509852,4 (Primary_indicator)
DK,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.6821470830874402,4 (Primary_indicator)
DK,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.8072822250497924,4 (Primary_indicator)
DK,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.7738047567877525,4 (Primary_indicator)
DK,All,2004,Energy and Housing,Housing quality,All,0.870066358050659,3 (Secondary_indicator)
DK,All,2004,Energy and Housing,Energy,All,0.7332638404497132,3 (Secondary_indicator)
DK,All,2004,Equality,Security,All,0.825377776794595,3 (Secondary_indicator)
DK,All,2004,Health and Animal Welfare,Health condition and impact,All,0.7567766704373847,3 (Secondary_indicator)
DK,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.7738047567877525,3 (Secondary_indicator)
DK,All,2004,Energy and Housing,All,All,0.8016650992501861,2 (EU_Priority)
DK,All,2004,Equality,All,All,0.825377776794595,2 (EU_Priority)
DK,All,2004,Health and Animal Welfare,All,All,0.7567766704373847,2 (EU_Priority)
DK,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.7738047567877525,2 (EU_Priority)
DK,All,2004,All,All,All,0.7894060758174796,1 (EWBI)
EE,All,2004,Energy and Housing,Housing quality,HQ-SILC-1,0.3872918543407498,4 (Primary_indicator)
EE,All,2004,Energy and Housing,Energy,HE-SILC-1,0.8053073886288276,4 (Primary_indicator)
EE,All,2004,Equality,Security,ES-SILC-1,0.9226011795520404,4 (Primary_indicator)
EE,All,2004,Equality,Security,ES-SILC-2,0.7750129581465854,4 (Primary_indicator)
EE,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.3996235422656896,4 (Primary_indicator)
EE,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.3375500927562833,4 (Primary_indicator)
EE,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.3129874301631248,4 (Primary_indicator)
EE,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.6631400509930001,4 (Primary_indicator)
EE,All,2004,Energy and Housing,Housing quality,All,0.3872918543407498,3 (Secondary_indicator)
EE,All,2004,Energy and Housing,Energy,All,0.8053073886288276,3 (Secondary_indicator)
EE,All,2004,Equality,Security,All,0.8491161364400458,3 (Secondary_indicator)
EE,All,2004,Health and Animal Welfare,Health condition and impact,All,0.353330273573073,3 (Secondary_indicator)
EE,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.6631400509930001,3 (Secondary_indicator)
EE,All,2004,Energy and Housing,All,All,0.5962996214847887,2 (EU_Priority)
EE,All,2004,Equality,All,All,0.8491161364400458,2 (EU_Priority)
EE,All,2004,Health and Animal Welfare,All,All,0.353330273573073,2 (EU_Priority)
EE,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.6631400509930001,2 (EU_Priority)
EE,All,2004,All,All,All,0.6154715206227269,1 (EWBI)
FI,All,2004,Energy and Housing,Housing quality,HQ-SILC-1,0.7898159360104179,4 (Primary_indicator)
FI,All,2004,Energy and Housing,Energy,HE-SILC-1,0.8598733803997219,4 (Primary_indicator)
FI,All,2004,Equality,Security,ES-SILC-1,0.5855732642233341,4 (Primary_indicator)
FI,All,2004,Equality,Security,ES-SILC-2,0.8960725474485948,4 (Primary_indicator)
FI,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.660824676445133,4 (Primary_indicator)
FI,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.3559823118780575,4 (Primary_indicator)
FI,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.2871682188862862,4 (Primary_indicator)
FI,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.6113575607390346,4 (Primary_indicator)
FI,All,2004,Energy and Housing,Housing quality,All,0.7898159360104179,3 (Secondary_indicator)
FI,All,2004,Energy and Housing,Energy,All,0.8598733803997219,3 (Secondary_indicator)
FI,All,2004,Equality,Security,All,0.7437396581719331,3 (Secondary_indicator)
FI,All,2004,Health and Animal Welfare,Health condition and impact,All,0.4392234451045414,3 (Secondary_indicator)
FI,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.6113575607390346,3 (Secondary_indicator)
FI,All,2004,Energy and Housing,All,All,0.8248446582050699,2 (EU_Priority)
FI,All,2004,Equality,All,All,0.7437396581719331,2 (EU_Priority)
FI,All,2004,Health and Animal Welfare,All,All,0.4392234451045414,2 (EU_Priority)
FI,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.6113575607390346,2 (EU_Priority)
FI,All,2004,All,All,All,0.6547913305551448,1 (EWBI)
FR,All,2004,Energy and Housing,Housing quality,HQ-SILC-1,0.8143133210328126,4 (Primary_indicator)
FR,All,2004,Energy and Housing,Energy,HE-SILC-1,0.8106519666337526,4 (Primary_indicator)
FR,All,2004,Equality,Security,ES-SILC-1,0.40545184843293847,4 (Primary_indicator)
FR,All,2004,Equality,Security,ES-SILC-2,0.7655297529002671,4 (Primary_indicator)
FR,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.6142657414211794,4 (Primary_indicator)
FR,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.45645950031250515,4 (Primary_indicator)
FR,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.596184526204624,4 (Primary_indicator)
FR,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.6029512953117202,4 (Primary_indicator)
FR,All,2004,Energy and Housing,Housing quality,All,0.8143133210328126,3 (Secondary_indicator)
FR,All,2004,Energy and Housing,Energy,All,0.8106519666337526,3 (Secondary_indicator)
FR,All,2004,Equality,Security,All,0.5897989991588727,3 (Secondary_indicator)
FR,All,2004,Health and Animal Welfare,Health condition and impact,All,0.5574804400733622,3 (Secondary_indicator)
FR,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.6029512953117202,3 (Secondary_indicator)
FR,All,2004,Energy and Housing,All,All,0.8124826438332826,2 (EU_Priority)
FR,All,2004,Equality,All,All,0.5897989991588727,2 (EU_Priority)
FR,All,2004,Health and Animal Welfare,All,All,0.5574804400733622,2 (EU_Priority)
FR,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.6029512953117202,2 (EU_Priority)
FR,All,2004,All,All,All,0.6406783445943094,1 (EWBI)
IE,All,2004,Energy and Housing,Housing quality,HQ-SILC-1,0.9427472223519464,4 (Primary_indicator)
IE,All,2004,Energy and Housing,Energy,HE-SILC-1,0.8707287308511331,4 (Primary_indicator)
IE,All,2004,Equality,Security,ES-SILC-1,0.6945726897413506,4 (Primary_indicator)
IE,All,2004,Equality,Security,ES-SILC-2,0.6574118393752476,4 (Primary_indicator)
IE,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.9263898963212056,4 (Primary_indicator)
IE,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.673725627584777,4 (Primary_indicator)
IE,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.6441916327125303,4 (Primary_indicator)
IE,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.7579330814195097,4 (Primary_indicator)
IE,All,2004,Energy and Housing,Housing quality,All,0.9427472223519464,3 (Secondary_indicator)
IE,All,2004,Energy and Housing,Energy,All,0.8707287308511331,3 (Secondary_indicator)
IE,All,2004,Equality,Security,All,0.6765848458276135,3 (Secondary_indicator)
IE,All,2004,Health and Animal Welfare,Health condition and impact,All,0.7523903847119274,3 (Secondary_indicator)
IE,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.7579330814195097,3 (Secondary_indicator)
IE,All,2004,Energy and Housing,All,All,0.9067379766015398,2 (EU_Priority)
IE,All,2004,Equality,All,All,0.6765848458276135,2 (EU_Priority)
IE,All,2004,Health and Animal Welfare,All,All,0.7523903847119274,2 (EU_Priority)
IE,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.7579330814195097,2 (EU_Priority)
IE,All,2004,All,All,All,0.7734115721401476,1 (EWBI)
IS,All,2004,Energy and Housing,Housing quality,HQ-SILC-1,0.8598317756215839,4 (Primary_indicator)
IS,All,2004,Energy and Housing,Energy,HE-SILC-1,0.7696090749693738,4 (Primary_indicator)
IS,All,2004,Equality,Security,ES-SILC-1,0.38291922361565334,4 (Primary_indicator)
IS,All,2004,Equality,Security,ES-SILC-2,0.7337885655154751,4 (Primary_indicator)
IS,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.7988901818615143,4 (Primary_indicator)
IS,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.6295619413981253,4 (Primary_indicator)
IS,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.6369901408195117,4 (Primary_indicator)
IS,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.9254480725044542,4 (Primary_indicator)
IS,All,2004,Energy and Housing,Housing quality,All,0.8598317756215839,3 (Secondary_indicator)
IS,All,2004,Energy and Housing,Energy,All,0.7696090749693738,3 (Secondary_indicator)
IS,All,2004,Equality,Security,All,0.5594782890620222,3 (Secondary_indicator)
IS,All,2004,Health and Animal Welfare,Health condition and impact,All,0.6893514308711374,3 (Secondary_indicator)
IS,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.9254480725044542,3 (Secondary_indicator)
IS,All,2004,Energy and Housing,All,All,0.8147204252954788,2 (EU_Priority)
IS,All,2004,Equality,All,All,0.5594782890620222,2 (EU_Priority)
IS,All,2004,Health and Animal Welfare,All,All,0.6893514308711374,2 (EU_Priority)
IS,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.9254480725044542,2 (EU_Priority)
IS,All,2004,All,All,All,0.7472495544332731,1 (EWBI)
IT,All,2004,Energy and Housing,Housing quality,HQ-SILC-1,0.6396567757631166,4 (Primary_indicator)
IT,All,2004,Energy and Housing,Energy,HE-SILC-1,0.7432056478608278,4 (Primary_indicator)
IT,All,2004,Equality,Security,ES-SILC-1,0.5729903480816322,4 (Primary_indicator)
IT,All,2004,Equality,Security,ES-SILC-2,0.4889534708309566,4 (Primary_indicator)
IT,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.6286688677969853,4 (Primary_indicator)
IT,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.7340038600036738,4 (Primary_indicator)
IT,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.7796879480385043,4 (Primary_indicator)
IT,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.6263712643836201,4 (Primary_indicator)
IT,All,2004,Energy and Housing,Housing quality,All,0.6396567757631166,3 (Secondary_indicator)
IT,All,2004,Energy and Housing,Energy,All,0.7432056478608278,3 (Secondary_indicator)
IT,All,2004,Equality,Security,All,0.5317321450055722,3 (Secondary_indicator)
IT,All,2004,Health and Animal Welfare,Health condition and impact,All,0.7147849281719488,3 (Secondary_indicator)
IT,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.6263712643836201,3 (Secondary_indicator)
IT,All,2004,Energy and Housing,All,All,0.6914312118119722,2 (EU_Priority)
IT,All,2004,Equality,All,All,0.5317321450055722,2 (EU_Priority)
IT,All,2004,Health and Animal Welfare,All,All,0.7147849281719488,2 (EU_Priority)
IT,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.6263712643836201,2 (EU_Priority)
IT,All,2004,All,All,All,0.6410798873432784,1 (EWBI)
LU,All,2004,Energy and Housing,Housing quality,HQ-SILC-1,0.8344684333896819,4 (Primary_indicator)
LU,All,2004,Energy and Housing,Energy,HE-SILC-1,0.9141408787196325,4 (Primary_indicator)
LU,All,2004,Equality,Security,ES-SILC-1,0.9014678581561564,4 (Primary_indicator)
LU,All,2004,Equality,Security,ES-SILC-2,0.9650251858473743,4 (Primary_indicator)
LU,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.6622712040837925,4 (Primary_indicator)
LU,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.6997310319555714,4 (Primary_indicator)
LU,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.5460194608272143,4 (Primary_indicator)
LU,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.8928438769245317,4 (Primary_indicator)
LU,All,2004,Energy and Housing,Housing quality,All,0.8344684333896819,3 (Secondary_indicator)
LU,All,2004,Energy and Housing,Energy,All,0.9141408787196325,3 (Secondary_indicator)
LU,All,2004,Equality,Security,All,0.9345762276782754,3 (Secondary_indicator)
LU,All,2004,Health and Animal Welfare,Health condition and impact,All,0.6369039242153521,3 (Secondary_indicator)
LU,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.8928438769245317,3 (Secondary_indicator)
LU,All,2004,Energy and Housing,All,All,0.8743046560546572,2 (EU_Priority)
LU,All,2004,Equality,All,All,0.9345762276782754,2 (EU_Priority)
LU,All,2004,Health and Animal Welfare,All,All,0.6369039242153521,2 (EU_Priority)
LU,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.8928438769245317,2 (EU_Priority)
LU,All,2004,All,All,All,0.8346571712182042,1 (EWBI)
NO,All,2004,Energy and Housing,Housing quality,HQ-SILC-1,0.8864158281393931,4 (Primary_indicator)
NO,All,2004,Energy and Housing,Energy,HE-SILC-1,0.8983656184014688,4 (Primary_indicator)
NO,All,2004,Equality,Security,ES-SILC-1,0.6317980659568752,4 (Primary_indicator)
NO,All,2004,Equality,Security,ES-SILC-2,0.9085715600353033,4 (Primary_indicator)
NO,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.708300038911567,4 (Primary_indicator)
NO,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.5464651003029761,4 (Primary_indicator)
NO,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.6676917923368749,4 (Primary_indicator)
NO,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.8775922269356156,4 (Primary_indicator)
NO,All,2004,Energy and Housing,Housing quality,All,0.8864158281393931,3 (Secondary_indicator)
NO,All,2004,Energy and Housing,Energy,All,0.8983656184014688,3 (Secondary_indicator)
NO,All,2004,Equality,Security,All,0.7715045703655398,3 (Secondary_indicator)
NO,All,2004,Health and Animal Welfare,Health condition and impact,All,0.6418997844502208,3 (Secondary_indicator)
NO,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.8775922269356156,3 (Secondary_indicator)
NO,All,2004,Energy and Housing,All,All,0.8923907232704309,2 (EU_Priority)
NO,All,2004,Equality,All,All,0.7715045703655398,2 (EU_Priority)
NO,All,2004,Health and Animal Welfare,All,All,0.6418997844502208,2 (EU_Priority)
NO,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.8775922269356156,2 (EU_Priority)
NO,All,2004,All,All,All,0.7958468262554518,1 (EWBI)
PT,All,2004,Energy and Housing,Housing quality,HQ-SILC-1,0.7473557285237936,4 (Primary_indicator)
PT,All,2004,Energy and Housing,Energy,HE-SILC-1,0.2711586951854839,4 (Primary_indicator)
PT,All,2004,Equality,Security,ES-SILC-1,0.703253019401328,4 (Primary_indicator)
PT,All,2004,Equality,Security,ES-SILC-2,0.4556042548799345,4 (Primary_indicator)
PT,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.21107561236267391,4 (Primary_indicator)
PT,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.5294932853441094,4 (Primary_indicator)
PT,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.3348455323249019,4 (Primary_indicator)
PT,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.6407316595500968,4 (Primary_indicator)
PT,All,2004,Energy and Housing,Housing quality,All,0.7473557285237936,3 (Secondary_indicator)
PT,All,2004,Energy and Housing,Energy,All,0.2711586951854839,3 (Secondary_indicator)
PT,All,2004,Equality,Security,All,0.5798650758946023,3 (Secondary_indicator)
PT,All,2004,Health and Animal Welfare,Health condition and impact,All,0.3612776466472059,3 (Secondary_indicator)
PT,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.6407316595500968,3 (Secondary_indicator)
PT,All,2004,Energy and Housing,All,All,0.5092572118546388,2 (EU_Priority)
PT,All,2004,Equality,All,All,0.5798650758946023,2 (EU_Priority)
PT,All,2004,Health and Animal Welfare,All,All,0.3612776466472059,2 (EU_Priority)
PT,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.6407316595500968,2 (EU_Priority)
PT,All,2004,All,All,All,0.522782898486636,1 (EWBI)
SE,All,2004,Energy and Housing,Housing quality,HQ-SILC-1,0.7168855786803824,4 (Primary_indicator)
SE,All,2004,Energy and Housing,Energy,HE-SILC-1,0.8992529642977939,4 (Primary_indicator)
SE,All,2004,Equality,Security,ES-SILC-1,0.8240586378008581,4 (Primary_indicator)
SE,All,2004,Equality,Security,ES-SILC-2,0.8848067484050649,4 (Primary_indicator)
SE,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.7661133560250808,4 (Primary_indicator)
SE,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.1997628012995888,4 (Primary_indicator)
SE,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.510474595513101,4 (Primary_indicator)
SE,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.8055350616418309,4 (Primary_indicator)
SE,All,2004,Energy and Housing,Housing quality,All,0.7168855786803824,3 (Secondary_indicator)
SE,All,2004,Energy and Housing,Energy,All,0.8992529642977939,3 (Secondary_indicator)
SE,All,2004,Equality,Security,All,0.854518007255849,3 (Secondary_indicator)
SE,All,2004,Health and Animal Welfare,Health condition and impact,All,0.49525160187495687,3 (Secondary_indicator)
SE,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.8055350616418309,3 (Secondary_indicator)
SE,All,2004,Energy and Housing,All,All,0.8080692714890881,2 (EU_Priority)
SE,All,2004,Equality,All,All,0.854518007255849,2 (EU_Priority)
SE,All,2004,Health and Animal Welfare,All,All,0.49525160187495687,2 (EU_Priority)
SE,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.8055350616418309,2 (EU_Priority)
SE,All,2004,All,All,All,0.7408434855654313,1 (EWBI)
ES,All,2004,Energy and Housing,Housing quality,HQ-SILC-1,0.8833373716586906,4 (Primary_indicator)
ES,All,2004,Energy and Housing,Energy,HE-SILC-1,0.7810804390819273,4 (Primary_indicator)
ES,All,2004,Equality,Security,ES-SILC-1,0.35267473509975095,4 (Primary_indicator)
ES,All,2004,Equality,Security,ES-SILC-2,0.6126812696469954,4 (Primary_indicator)
ES,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.5187990221302036,4 (Primary_indicator)
ES,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.6435460639450579,4 (Primary_indicator)
ES,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.5862920445342618,4 (Primary_indicator)
ES,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.5314990282449501,4 (Primary_indicator)
ES,All,2004,Energy and Housing,Housing quality,All,0.8833373716586906,3 (Secondary_indicator)
ES,All,2004,Energy and Housing,Energy,All,0.7810804390819273,3 (Secondary_indicator)
ES,All,2004,Equality,Security,All,0.48554346282844674,3 (Secondary_indicator)
ES,All,2004,Health and Animal Welfare,Health condition and impact,All,0.5836680587329786,3 (Secondary_indicator)
ES,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.5314990282449501,3 (Secondary_indicator)
ES,All,2004,Energy and Housing,All,All,0.832208905370309,2 (EU_Priority)
ES,All,2004,Equality,All,All,0.48554346282844674,2 (EU_Priority)
ES,All,2004,Health and Animal Welfare,All,All,0.5836680587329786,2 (EU_Priority)
ES,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.5314990282449501,2 (EU_Priority)
ES,All,2004,All,All,All,0.6082298637941711,1 (EWBI)
AT,All,2005,Energy and Housing,Housing quality,HQ-SILC-1,0.8396619062378532,4 (Primary_indicator)
AT,All,2005,Energy and Housing,Energy,HE-SILC-1,0.9049682008723892,4 (Primary_indicator)
AT,All,2005,Equality,Security,ES-SILC-1,0.7683310527042575,4 (Primary_indicator)
AT,All,2005,Equality,Security,ES-SILC-2,0.9211865790160811,4 (Primary_indicator)
AT,All,2005,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.7452981654906162,4 (Primary_indicator)
AT,All,2005,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.7777242410563081,4 (Primary_indicator)
AT,All,2005,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.4834195925559885,4 (Primary_indicator)
AT,All,2005,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.8679976449981907,4 (Primary_indicator)
AT,All,2005,Energy and Housing,Housing quality,All,0.8396619062378532,3 (Secondary_indicator)
AT,All,2005,Energy and Housing,Energy,All,0.9049682008723892,3 (Secondary_indicator)
AT,All,2005,Equality,Security,All,0.8453211431354362,3 (Secondary_indicator)
AT,All,2005,Health and Animal Welfare,Health condition and impact,All,0.6700356734706543,3 (Secondary_indicator)
AT,All,2005,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.8679976449981907,3 (Secondary_indicator)
AT,All,2005,Energy and Housing,All,All,0.8723150535551212,2 (EU_Priority)
AT,All,2005,Equality,All,All,0.8453211431354362,2 (EU_Priority)
AT,All,2005,Health and Animal Welfare,All,All,0.6700356734706543,2 (EU_Priority)
AT,All,2005,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.8679976449981907,2 (EU_Priority)
AT,All,2005,All,All,All,0.8139173787898506,1 (EWBI)
BE,All,2005,Energy and Housing,Housing quality,HQ-SILC-1,0.9478993826081886,4 (Primary_indicator)
BE,All,2005,Energy and Housing,Energy,HE-SILC-1,0.7722240460521076,4 (Primary_indicator)
BE,All,2005,Equality,Security,ES-SILC-1,0.7969009416468,4 (Primary_indicator)
BE,All,2005,Equality,Security,ES-SILC-2,0.8263330240600953,4 (Primary_indicator)
BE,All,2005,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.769265239649907,4 (Primary_indicator)
BE,All,2005,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.6903749356408874,4 (Primary_indicator)
BE,All,2005,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.5827169124319247,4 (Primary_indicator)
BE,All,2005,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.5061205828180616,4 (Primary_indicator)
BE,All,2005,Energy and Housing,Housing quality,All,0.9478993826081886,3 (Secondary_indicator)
BE,All,2005,Energy and Housing,Energy,All,0.7722240460521076,3 (Secondary_indicator)
BE,All,2005,Equality,Security,All,0.8117376621591816,3 (Secondary_indicator)
BE,All,2005,Health and Animal Welfare,Health condition and impact,All,0.682450964712428,3 (Secondary_indicator)
BE,All,2005,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.5061205828180616,3 (Secondary_indicator)
