policy_id,sector,source_cluster_id,policy_text,model_category,model_sub_code,model_confidence,model_reasoning,expert_original_label,expert_agrees_now,notes
FOOD_027,FOOD,55,Teach critical thinking so people can assess the social and environmental impacts of their dietary choices.,sufficiency,8.0,4,matches sub-code 8 (dietary & food-system sufficiency): aims to shift food consumption patterns toward lower-impact choices,Not a policy,,
FOOD_035,FOOD,51,Farmers opting for collective entrepreneurship through cooperatives instead of individual farming,sufficiency,9.0,4,matches sub-code 9 (public/collective provisioning at low throughput): cooperative farming can secure needs with lower material/energy throughput than individual farming,Not a policy,,
INDUSTRY_031,INDUSTRY,62,"Cannabis regulatory schemes that prioritize social equity and support for diverse entrepreneurs, with a focus on race, restorative justice, and gender.",sufficiency,9.0,4,matches sub-code 9 (public provisioning): regulatory scheme prioritizing social equity and restorative justice secures needs at lower throughput than market-driven approaches,Not a policy,,
INDUSTRY_054,INDUSTRY,20,"Policy-wise, this model offers a replicable framework for Indonesia’s mining transition strategies by promoting circular economy practices and community-led systems, emphasizing multi-sector livelihood integration.",sufficiency,7.0,4,"promotes circular economy practices and community-led systems, matching sub-code 7 (share, reuse, repair & prolong)",Not a policy,,
LOGISTICS_023,LOGISTICS,26,Establish proper logistics areas in the most advantaged regions,sufficiency,5.0,4,"matches sub-code 5 (proximity, compactness & land sufficiency): spatially avoid the need by locating logistics in advantaged regions",Not a policy,,
MACROECONOMIC_006,MACROECONOMIC,11,"Assignment of at least one seat per province in the TGNA, irrespective of the size of its population, favoring rural and agricultural interests.",sufficiency,5.0,4,"matches sub-code 5 (proximity, compactness & land sufficiency): spatial allocation favoring rural areas avoids concentration and sprawl",Not a policy,,
MACROECONOMIC_016,MACROECONOMIC,2,Economic diversification to reduce over-reliance on oil revenues,sufficiency,3.0,4,"matches sub-code 3 (reduce & right size): aims to lower absolute level of oil revenue dependence, not just intensity or substitution",Not a policy,,
MATERIALS_003,MATERIALS,83,Designing urban policies aimed at configuring urban space for water supply,sufficiency,5.0,4,"matches sub-code 5 (proximity, compactness & land sufficiency): configuring urban space to avoid demand",Not a policy,,
MATERIALS_010,MATERIALS,46,Public–private partnerships for water utilities,sufficiency,9.0,4,matches sub-code 9 (public/collective provisioning at low throughput) when partnership secures needs with lower resource use,Not a policy,,
MATERIALS_034,MATERIALS,21,Utilize information obtained according to generations and socio-demographic differences to establish communication and carry out practices that nourish positive attitudes or eliminate negative beliefs and prejudices regarding water consumption,sufficiency,3.0,4,matches sub-code 3 (reduce & right size): aims to lower absolute water consumption by changing attitudes and practices,Not a policy,,
MATERIALS_035,MATERIALS,53,Stringent monitoring of FSE operations by landlords with penalties applied for transgressions,sufficiency,1.0,4,matches sub-code 1 (cap/limit/ban): penalties enforce a regulatory ceiling on operations,Not a policy,,
MATERIALS_039,MATERIALS,22,"Decentralization of government services in Haiti, including water resources management",sufficiency,5.0,4,matches sub-code 5 (proximity/compactness): spatial reorganization to avoid transport demand and enable local resource management,Not a policy,,
MATERIALS_046,MATERIALS,6,Integration of informal waste collectors into structured programs such as cooperatives,sufficiency,7.0,4,"matches sub-code 7 (share, reuse, repair & prolong): integrating waste collectors supports reuse and prolongs material life, reducing absolute demand for virgin materials",Not a policy,,
MATERIALS_050,MATERIALS,24,Urban planning with good road network for waste collection,sufficiency,5.0,4,"matches sub-code 5 (proximity, compactness & land sufficiency): spatial planning to avoid the need for excessive transport",Not a policy,,
MATERIALS_051,MATERIALS,67,Public awareness campaigns on appropriate waste management practices,sufficiency,3.0,4,matches sub-code 3 (reduce & right size): aims to reduce waste/overconsumption through behavioral change,Not a policy,,
MATERIALS_054,MATERIALS,13,Financial compensation from the receivers of the water to cover all the costs derived from the transfer,sufficiency,2.0,4,matches sub-code 2 (demand-suppressing prices & taxes): financial compensation acts as a deterrent fee to cut water consumption,Not a policy,,
MATERIALS_060,MATERIALS,58,"Locate hand-dug wells a distance far away from pit latrines, soak away, industrial, mining and excessive agricultural prone areas to minimize high contamination.",sufficiency,5.0,4,matches sub-code 5 (proximity/compactness/land sufficiency): spatial planning to avoid contamination and reduce need for treatment,Not a policy,,
MATERIALS_061,MATERIALS,15,Incorporating waste management considerations into urban planning and residential design.,sufficiency,3.0,4,matches sub-code 3 (reduce & right size): aims to reduce waste/overconsumption by integrating waste management into planning and design,Not a policy,,
MATERIALS_062,MATERIALS,67,Campaigns of home composting awareness,sufficiency,3.0,4,"matches sub-code 3 (reduce & right size): reduces waste/overconsumption by diverting organic waste from disposal, lowering absolute material demand",Not a policy,,
MATERIALS_063,MATERIALS,6,Recognizing informal sector workers as key stakeholders in the solid waste management system.,sufficiency,7.0,4,"matches sub-code 7 (share, reuse, repair & prolong): integrating informal workers supports reuse/repair/recycling, extending material life and reducing absolute demand",Not a policy,,
MOBILITY_021,MOBILITY,15,Providing transportation allowances to reduce transportation barriers,sufficiency,6.0,4,matches sub-code 6 (modal or provisioning shift): allowance enables access without increasing private vehicle demand,Not a policy,,
NATURE_031,NATURE,94,Developing a comprehensive and inclusive Collaborative Management Plan for BB WR,sufficiency,1.0,4,matches sub-code 1 (cap/limit/ban): management plan likely imposes restrictions or limits on resource use in a protected area,Not a policy,,
NATURE_069,NATURE,44,Community sensitization programs incorporating fire management,sufficiency,1.0,4,"matches sub-code 1 (cap/limit/ban): community programs to manage fire imply restrictions on burning, an absolute limit on activity",Not a policy,,
SOCIAL_004,SOCIAL,24,Lifestyle marketing and sponsorships for alcohol,sufficiency,3.0,4,"matches sub-code 3 (reduce & right size): aims to lower consumption of alcohol, an absolute demand reduction",Not a policy,,
SOCIAL_013,SOCIAL,103,"Organizations, schools, universities and society in general should promote policies and practices that promote individuals’ perception of being important to the institution and to other members of that environment in order to reduce engagement in antisocial behaviors.",sufficiency,9.0,4,"matches sub-code 9 (public/collective provisioning at low throughput): promoting social inclusion to reduce antisocial behavior, a social-floor measure",Not a policy,,
SOCIAL_014,SOCIAL,4,Building a constructive dialog and granting more freedom in decision making and independence in daily activities,sufficiency,9.0,4,matches sub-code 9 (public/collective provisioning at low throughput): granting freedom and independence in daily activities aligns with social-floor measures securing needs at low material throughput.,Not a policy,,
SOCIAL_037,SOCIAL,107,Borrowing livestock from friends or relatives,sufficiency,7.0,4,"matches sub-code 7 (share, reuse, repair & prolong): sharing livestock avoids individual ownership and reduces absolute demand for animals",Not a policy,,
SOCIAL_038,SOCIAL,0,"Promotion of experiential learning opportunities, such as service-learning projects, community engagement initiatives, and simulations of democratic processes.",sufficiency,9.0,4,"matches sub-code 9 (public/collective provisioning at low throughput): experiential learning is a collective, low-material-throughput way to secure educational needs.",Not a policy,,
SOCIAL_057,SOCIAL,85,Nutrition education and other nutrition-related interventions for child health,sufficiency,8.0,4,"matches sub-code 8 (dietary & food-system sufficiency): nutrition education aims to shift food consumption patterns, reducing absolute demand for resource-intensive foods",Not a policy,,
SOCIAL_070,SOCIAL,113,Proper educational programs for PA engagement interventions,sufficiency,9.0,4,matches sub-code 9 (public/collective provisioning at low throughput) via educational programs as a social-floor measure,Not a policy,,
URBAN_022,URBAN,21,"Participatory Budgeting, allowing stakeholders to decide on allocating part of the city’s budget for resident-proposed initiatives",sufficiency,9.0,4,matches sub-code 9 (public provisioning): collective decision-making on budget allocation can secure needs at lower throughput,Not a policy,,
URBAN_032,URBAN,14,Innovative monitoring approaches and dedicated spatial planning for new forms of urban-rural mixes,sufficiency,5.0,4,"matches sub-code 5 (proximity, compactness & land sufficiency): spatial planning for urban-rural mixes avoids sprawl and reduces travel demand",Not a policy,,
URBAN_036,URBAN,21,"Community-based monitoring, where 82% of operational issues are identified and resolved at the community level.",sufficiency,9.0,4,"matches sub-code 9 (public/collective provisioning at low throughput): community-based monitoring resolves issues locally, reducing resource demand.",Not a policy,,
URBAN_037,URBAN,32,"'One core, five circles and four belts' plan for regional development",sufficiency,5.0,4,"matches sub-code 5 (proximity, compactness & land sufficiency): spatial planning to avoid sprawl and concentrate development",Not a policy,,
URBAN_051,URBAN,79,"Creating symmetrical land use compatibility zones centered around the vertipad/helipad, using the most significant distance of potential noise impact to define the border of a zone",sufficiency,5.0,4,"matches sub-code 5 (proximity, compactness & land sufficiency): spatially avoids the need by creating compatibility zones to limit noise impact",Not a policy,,
URBAN_063,URBAN,51,Policy of de-concentration of poverty by exporting it to other parts of the city or to the countryside,sufficiency,5.0,4,"matches sub-code 5 (proximity, compactness & land sufficiency): spatial de-concentration to avoid concentrated demand",Not a policy,,
URBAN_064,URBAN,50,Policies of decentralisation and the establishment of local level decision making bodies,sufficiency,5.0,4,"matches sub-code 5 (proximity, compactness & land sufficiency): decentralisation can enable local decision-making that avoids sprawl and promotes compact development",Not a policy,,
